BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
19;Kanton Aargau;2021-11-28;437516.0;287482.0;1440.0;81.0;285961.0;178931.0;107030.0;285370.0;5657.0;...;9527.0
1901;Bezirk Aarau;2021-11-28;50095.0;34308.0;220.0;10.0;34078.0;22988.0;11090.0;34640.0;756.0;...;696.0
1902;Bezirk Baden;2021-11-28;85319.0;56631.0;278.0;11.0;56342.0;38487.0;17855.0;56381.0;993.0;...;1780.0
1903;Bezirk Bremgarten;2021-11-28;48603.0;32544.0;137.0;11.0;32396.0;19964.0;12432.0;32093.0;657.0;...;1265.0
1904;Bezirk Brugg;2021-11-28;32666.0;22236.0;119.0;8.0;22109.0;14309.0;7800.0;22134.0;378.0;...;629.0
1905;Bezirk Kulm;2021-11-28;26459.0;17389.0;82.0;13.0;17294.0;9040.0;8254.0;17258.0;383.0;...;564.0
1906;Bezirk Laufenburg;2021-11-28;21716.0;14443.0;69.0;1.0;14373.0;8604.0;5769.0;14203.0;219.0;...;518.0
1907;Bezirk Lenzburg;2021-11-28;41205.0;27743.0;127.0;11.0;27605.0;16730.0;10875.0;27612.0;581.0;...;846.0
1908;Bezirk Muri;2021-11-28;24822.0;17162.0;84.0;3.0;17075.0;9719.0;7356.0;17042.0;302.0;...;530.0
1909;Bezirk Rheinfelden;2021-11-28;29437.0;18933.0;80.0;3.0;18850.0;12033.0;6817.0;18752.0;385.0;...;666.0
1910;Bezirk Zofingen;2021-11-28;45224.0;29564.0;165.0;7.0;29392.0;16631.0;12761.0;29226.0;747.0;...;1218.0
1911;Bezirk Zurzach;2021-11-28;20533.0;13779.0;56.0;3.0;13720.0;8547.0;5173.0;13256.0;228.0;...;806.0
4001;Aarau;2021-11-28;14358.0;10141.0;86.0;6.0;10049.0;7422.0;2627.0;10197.0;182.0;...;242.0
4002;Biberstein;2021-11-28;1193.0;922.0;4.0;...;918.0;674.0;244.0;923.0;14.0;...;13.0
4003;Buchs (AG);2021-11-28;4236.0;2684.0;24.0;...;2660.0;1732.0;928.0;2776.0;75.0;...;37.0
4004;Densbüren;2021-11-28;558.0;399.0;2.0;...;397.0;221.0;176.0;391.0;5.0;...;13.0
4005;Erlinsbach (AG);2021-11-28;3024.0;2108.0;3.0;1.0;2104.0;1436.0;668.0;2088.0;35.0;...;64.0
4006;Gränichen;2021-11-28;5306.0;3538.0;16.0;...;3522.0;2056.0;1466.0;3588.0;101.0;...;62.0
4007;Hirschthal;2021-11-28;1153.0;825.0;6.0;...;819.0;455.0;364.0;822.0;23.0;...;30.0
4008;Küttigen;2021-11-28;4403.0;3213.0;17.0;...;3196.0;2203.0;993.0;3247.0;58.0;...;34.0
4009;Muhen;2021-11-28;2783.0;1889.0;17.0;...;1872.0;1160.0;712.0;1880.0;36.0;...;45.0
4010;Oberentfelden;2021-11-28;4761.0;3034.0;15.0;...;3019.0;1895.0;1124.0;3030.0;50.0;...;70.0
4012;Suhr;2021-11-28;5731.0;3670.0;15.0;1.0;3654.0;2474.0;1180.0;3776.0;135.0;...;53.0
4013;Unterentfelden;2021-11-28;2589.0;1885.0;15.0;2.0;1868.0;1260.0;608.0;1922.0;42.0;...;33.0
4021;Baden;2021-11-28;12131.0;8311.0;49.0;...;8262.0;6236.0;2026.0;8126.0;121.0;...;336.0
4022;Bellikon;2021-11-28;1164.0;868.0;4.0;...;864.0;551.0;313.0;854.0;12.0;...;28.0
4023;Bergdietikon;2021-11-28;1884.0;1285.0;6.0;1.0;1278.0;888.0;390.0;1300.0;19.0;...;12.0
4024;Birmenstorf (AG);2021-11-28;1924.0;1325.0;5.0;...;1320.0;938.0;382.0;1319.0;13.0;...;29.0
4026;Ennetbaden;2021-11-28;2239.0;1700.0;6.0;1.0;1693.0;1389.0;304.0;1701.0;27.0;...;31.0
4027;Fislisbach;2021-11-28;3442.0;2209.0;16.0;...;2193.0;1436.0;757.0;2254.0;72.0;...;40.0
4028;Freienwil;2021-11-28;755.0;566.0;5.0;...;561.0;387.0;174.0;532.0;5.0;...;39.0
4029;Gebenstorf;2021-11-28;3324.0;2153.0;12.0;...;2141.0;1439.0;702.0;2141.0;43.0;...;62.0
4030;Killwangen;2021-11-28;1193.0;779.0;1.0;3.0;775.0;520.0;255.0;768.0;6.0;...;17.0
4031;Künten;2021-11-28;1256.0;843.0;8.0;...;835.0;508.0;327.0;865.0;33.0;...;15.0
4032;Mägenwil;2021-11-28;1250.0;826.0;6.0;...;820.0;483.0;337.0;804.0;12.0;...;37.0
4033;Mellingen;2021-11-28;3194.0;2018.0;15.0;...;2003.0;1265.0;738.0;2024.0;48.0;...;56.0
