BFSNR;NAME;DATUM;STIMMBERECHTIGTE;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN
19;Kanton Aargau;2023-06-18;429381.0;176313.0;2188.0;0.0;5305.0;172477.0;7068.0;105.0;165304.0;78609.0;86695.0
1901;Bezirk Aarau;2023-06-18;50174.0;22378.0;321.0;0.0;336.0;21483.0;981.0;27.0;20475.0;10424.0;10051.0
1902;Bezirk Baden;2023-06-18;86158.0;36366.0;396.0;0.0;1199.0;35811.0;1548.0;13.0;34250.0;16935.0;17315.0
1903;Bezirk Bremgarten;2023-06-18;49095.0;20791.0;293.0;0.0;733.0;19979.0;977.0;8.0;18994.0;8030.0;10964.0
1904;Bezirk Brugg;2023-06-18;31543.0;14022.0;170.0;0.0;322.0;13698.0;557.0;6.0;13135.0;6314.0;6821.0
1905;Bezirk Kulm;2023-06-18;26712.0;9781.0;112.0;0.0;349.0;9663.0;411.0;36.0;9216.0;3731.0;5485.0
1906;Bezirk Laufenburg;2023-06-18;23115.0;9600.0;100.0;0.0;345.0;9679.0;148.0;0.0;9531.0;5233.0;4298.0
1907;Bezirk Lenzburg;2023-06-18;41869.0;17243.0;233.0;0.0;435.0;16804.0;789.0;7.0;16008.0;7239.0;8769.0
1908;Bezirk Muri;2023-06-18;25100.0;9923.0;120.0;0.0;198.0;9539.0;437.0;0.0;9102.0;3452.0;5650.0
1909;Bezirk Rheinfelden;2023-06-18;29356.0;11478.0;157.0;0.0;318.0;11369.0;209.0;1.0;11159.0;6764.0;4395.0
1910;Bezirk Zofingen;2023-06-18;45540.0;16276.0;199.0;0.0;700.0;15981.0;802.0;2.0;15177.0;6263.0;8914.0
1911;Bezirk Zurzach;2023-06-18;20719.0;8455.0;87.0;0.0;370.0;8471.0;209.0;5.0;8257.0;4224.0;4033.0
4001;Aarau;2023-06-18;14303.0;7052.0;79.0;0.0;119.0;6855.0;370.0;3.0;6482.0;3588.0;2894.0
4002;Biberstein;2023-06-18;1197.0;612.0;7.0;0.0;7.0;596.0;18.0;0.0;578.0;308.0;270.0
4003;Buchs (AG);2023-06-18;4279.0;1760.0;26.0;0.0;21.0;1688.0;74.0;0.0;1614.0;769.0;845.0
4004;Densbüren;2023-06-18;575.0;221.0;4.0;0.0;8.0;214.0;7.0;0.0;207.0;87.0;120.0
4005;Erlinsbach (AG);2023-06-18;3001.0;1409.0;16.0;0.0;23.0;1354.0;42.0;10.0;1302.0;643.0;659.0
4006;Gränichen;2023-06-18;5269.0;2007.0;43.0;0.0;33.0;1907.0;77.0;0.0;1830.0;833.0;997.0
4007;Hirschthal;2023-06-18;1202.0;514.0;3.0;0.0;13.0;505.0;21.0;0.0;484.0;221.0;263.0
4008;Küttigen;2023-06-18;4569.0;2335.0;32.0;0.0;27.0;2189.0;108.0;0.0;2081.0;1159.0;922.0
4009;Muhen;2023-06-18;2775.0;1341.0;29.0;0.0;18.0;1242.0;66.0;0.0;1176.0;493.0;683.0
4010;Oberentfelden;2023-06-18;4740.0;1725.0;22.0;0.0;36.0;1670.0;70.0;13.0;1587.0;688.0;899.0
4012;Suhr;2023-06-18;5682.0;2274.0;44.0;0.0;15.0;2173.0;81.0;1.0;2091.0;1095.0;996.0
4013;Unterentfelden;2023-06-18;2582.0;1128.0;16.0;0.0;16.0;1090.0;47.0;0.0;1043.0;540.0;503.0
4021;Baden;2023-06-18;12263.0;5971.0;79.0;0.0;296.0;5976.0;285.0;2.0;5689.0;3226.0;2463.0
4022;Bellikon;2023-06-18;1157.0;574.0;9.0;0.0;13.0;549.0;16.0;0.0;533.0;239.0;294.0
4023;Bergdietikon;2023-06-18;1878.0;874.0;10.0;0.0;11.0;837.0;33.0;2.0;802.0;260.0;542.0
4024;Birmenstorf (AG);2023-06-18;1923.0;827.0;14.0;0.0;21.0;819.0;40.0;0.0;779.0;351.0;428.0
4026;Ennetbaden;2023-06-18;2259.0;1213.0;14.0;0.0;27.0;1176.0;50.0;0.0;1126.0;700.0;426.0
4027;Fislisbach;2023-06-18;3642.0;1495.0;29.0;0.0;42.0;1442.0;77.0;0.0;1365.0;619.0;746.0
4028;Freienwil;2023-06-18;751.0;373.0;1.0;0.0;24.0;378.0;22.0;0.0;356.0;193.0;163.0
4029;Gebenstorf;2023-06-18;3347.0;1338.0;14.0;0.0;33.0;1309.0;54.0;0.0;1255.0;620.0;635.0
4030;Killwangen;2023-06-18;1190.0;420.0;3.0;0.0;5.0;403.0;17.0;0.0;386.0;175.0;211.0
4031;Künten;2023-06-18;1267.0;554.0;4.0;0.0;9.0;545.0;17.0;0.0;528.0;241.0;287.0
4032;Mägenwil;2023-06-18;1291.0;480.0;5.0;0.0;12.0;474.0;18.0;0.0;456.0;170.0;286.0
4033;Mellingen;2023-06-18;3222.0;1106.0;10.0;0.0;43.0;1093.0;35.0;0.0;1058.0;524.0;534.0
4034;Neuenhof;2023-06-18;3609.0;1141.0;19.0;0.0;21.0;1105.0;50.0;0.0;1055.0;496.0;559.0
4035;Niederrohrdorf;2023-06-18;2994.0;1232.0;15.0;0.0;42.0;1214.0;44.0;0.0;1170.0;578.0;592.0
4037;Oberrohrdorf;2023-06-18;2813.0;1397.0;22.0;0.0;43.0;1383.0;57.0;0.0;1326.0;602.0;724.0
4038;Obersiggenthal;2023-06-18;4927.0;2071.0;9.0;0.0;99.0;2116.0;80.0;2.0;2034.0;1031.0;1003.0
4039;Remetschwil;2023-06-18;1463.0;629.0;5.0;0.0;38.0;644.0;36.0;0.0;608.0;221.0;387.0
4040;Spreitenbach;2023-06-18;4709.0;1248.0;4.0;0.0;20.0;1207.0;43.0;0.0;1164.0;491.0;673.0
4041;Stetten (AG);2023-06-18;1489.0;569.0;14.0;0.0;15.0;539.0;25.0;0.0;514.0;223.0;291.0
4042;Turgi;2023-06-18;1557.0;584.0;11.0;0.0;16.0;576.0;17.0;0.0;559.0;319.0;240.0
4044;Untersiggenthal;2023-06-18;4252.0;1801.0;17.0;0.0;68.0;1779.0;61.0;3.0;1715.0;938.0;777.0
4045;Wettingen;2023-06-18;12484.0;5556.0;34.0;0.0;111.0;5405.0;265.0;0.0;5140.0;2492.0;2648.0
4046;Wohlenschwil;2023-06-18;1154.0;507.0;10.0;0.0;19.0;496.0;28.0;0.0;468.0;252.0;216.0
4047;Würenlingen;2023-06-18;3008.0;1190.0;15.0;0.0;45.0;1178.0;34.0;0.0;1144.0;566.0;578.0
4048;Würenlos;2023-06-18;4293.0;1843.0;15.0;0.0;85.0;1821.0;68.0;3.0;1750.0;845.0;905.0
4049;Ehrendingen;2023-06-18;3216.0;1373.0;14.0;0.0;41.0;1347.0;76.0;1.0;1270.0;563.0;707.0
4061;Arni (AG);2023-06-18;1301.0;609.0;4.0;0.0;32.0;576.0;36.0;0.0;540.0;260.0;280.0
4062;Berikon;2023-06-18;3224.0;1402.0;20.0;0.0;35.0;1300.0;63.0;0.0;1237.0;560.0;677.0
