BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;EINGELBRIEF;UNGUELTIGBRIEF;EINGELURNEN
19;Kanton Aargau;2020-09-27;422350.0;228566.0;8231.0;187.0;220148.0;108123.0;112025.0;242150.0;3660.0;7441.0
1901;Bezirk Aarau;2020-09-27;49882.0;28439.0;1050.0;22.0;27367.0;14845.0;12522.0;30372.0;585.0;560.0
1902;Bezirk Baden;2020-09-27;84974.0;47502.0;1726.0;54.0;45722.0;25218.0;20504.0;49697.0;660.0;1632.0
1903;Bezirk Bremgarten;2020-09-27;48223.0;25885.0;933.0;24.0;24928.0;11880.0;13048.0;27966.0;410.0;979.0
1904;Bezirk Brugg;2020-09-27;32374.0;18247.0;676.0;5.0;17566.0;8672.0;8894.0;19322.0;300.0;439.0
1905;Bezirk Kulm;2020-09-27;25971.0;13297.0;416.0;29.0;12852.0;4776.0;8076.0;14192.0;218.0;358.0
1906;Bezirk Laufenburg;2020-09-27;21530.0;11544.0;431.0;1.0;11112.0;5063.0;6049.0;12142.0;168.0;369.0
1907;Bezirk Lenzburg;2020-09-27;40732.0;22104.0;764.0;19.0;21321.0;10330.0;10991.0;23451.0;374.0;664.0
1908;Bezirk Muri;2020-09-27;24390.0;12909.0;468.0;6.0;12435.0;5902.0;6533.0;14021.0;185.0;433.0
1909;Bezirk Rheinfelden;2020-09-27;29334.0;14651.0;594.0;2.0;14055.0;7326.0;6729.0;15662.0;229.0;465.0
1910;Bezirk Zofingen;2020-09-27;44801.0;22448.0;782.0;9.0;21657.0;9598.0;12059.0;23672.0;375.0;918.0
1911;Bezirk Zurzach;2020-09-27;20139.0;11540.0;391.0;16.0;11133.0;4513.0;6620.0;11653.0;156.0;624.0
4001;Aarau;2020-09-27;14471.0;8709.0;355.0;8.0;8346.0;5422.0;2924.0;9236.0;175.0;215.0
4002;Biberstein;2020-09-27;1183.0;761.0;29.0;0.0;732.0;396.0;336.0;801.0;18.0;17.0
4003;Buchs (AG);2020-09-27;4206.0;2127.0;67.0;0.0;2060.0;1072.0;988.0;2289.0;33.0;31.0
4004;Densbüren;2020-09-27;557.0;324.0;9.0;0.0;315.0;121.0;194.0;330.0;7.0;11.0
4005;Erlinsbach (AG);2020-09-27;2977.0;1750.0;41.0;11.0;1698.0;879.0;819.0;1847.0;13.0;50.0
4006;Gränichen;2020-09-27;5199.0;2741.0;100.0;0.0;2641.0;1142.0;1499.0;2938.0;80.0;45.0
4007;Hirschthal;2020-09-27;1177.0;656.0;18.0;0.0;638.0;281.0;357.0;701.0;11.0;16.0
4008;Küttigen;2020-09-27;4360.0;2734.0;105.0;3.0;2626.0;1478.0;1148.0;2835.0;16.0;37.0
4009;Muhen;2020-09-27;2762.0;1470.0;55.0;0.0;1415.0;591.0;824.0;1601.0;28.0;21.0
4010;Oberentfelden;2020-09-27;4803.0;2306.0;76.0;0.0;2230.0;972.0;1258.0;2470.0;32.0;48.0
4012;Suhr;2020-09-27;5604.0;3317.0;153.0;0.0;3164.0;1721.0;1443.0;3695.0;135.0;29.0
4013;Unterentfelden;2020-09-27;2583.0;1544.0;42.0;0.0;1502.0;770.0;732.0;1629.0;37.0;40.0
4021;Baden;2020-09-27;12086.0;7406.0;247.0;3.0;7156.0;4777.0;2379.0;7617.0;125.0;378.0
4022;Bellikon;2020-09-27;1168.0;723.0;30.0;1.0;692.0;340.0;352.0;795.0;14.0;25.0
4023;Bergdietikon;2020-09-27;1861.0;1046.0;35.0;0.0;1011.0;494.0;517.0;1146.0;14.0;13.0
4024;Birmenstorf (AG);2020-09-27;1917.0;1101.0;42.0;0.0;1059.0;536.0;523.0;1161.0;12.0;17.0
4026;Ennetbaden;2020-09-27;2207.0;1529.0;64.0;0.0;1465.0;1007.0;458.0;1607.0;17.0;35.0
4027;Fislisbach;2020-09-27;3393.0;1747.0;61.0;1.0;1685.0;877.0;808.0;1904.0;62.0;55.0
4028;Freienwil;2020-09-27;727.0;497.0;25.0;0.0;472.0;248.0;224.0;479.0;0.0;47.0
4029;Gebenstorf;2020-09-27;3309.0;1787.0;73.0;0.0;1714.0;882.0;832.0;1871.0;16.0;46.0
4030;Killwangen;2020-09-27;1171.0;645.0;26.0;0.0;619.0;327.0;292.0;665.0;8.0;16.0
4031;Künten;2020-09-27;1247.0;690.0;16.0;0.0;674.0;305.0;369.0;705.0;8.0;24.0
4032;Mägenwil;2020-09-27;1274.0;669.0;14.0;0.0;655.0;285.0;370.0;688.0;8.0;23.0
4033;Mellingen;2020-09-27;3138.0;1548.0;65.0;2.0;1481.0;746.0;735.0;1652.0;11.0;39.0
4034;Neuenhof;2020-09-27;3760.0;1643.0;66.0;1.0;1576.0;803.0;773.0;1730.0;37.0;51.0
4035;Niederrohrdorf;2020-09-27;2740.0;1603.0;46.0;3.0;1554.0;882.0;672.0;1677.0;21.0;49.0
