BFSNR;NAME;DATUM;STIMMBERECHTIGTE;AUSL_SCHWEIZER;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
19;Kanton Aargau;2018-11-25;426271.0;...;196647.0;3736.0;120.0;192791.0;80333.0;112458.0;192470.0;2497.0;1937.0;7123.0
1901;Bezirk Aarau;2018-11-25;49099.0;...;24237.0;578.0;5.0;23654.0;10374.0;13280.0;24350.0;338.0;...;522.0
1902;Bezirk Baden;2018-11-25;84189.0;...;40029.0;852.0;21.0;39156.0;16296.0;22860.0;39624.0;470.0;...;1430.0
1903;Bezirk Bremgarten;2018-11-25;47426.0;...;22409.0;410.0;5.0;21994.0;8969.0;13025.0;22129.0;316.0;...;865.0
1904;Bezirk Brugg;2018-11-25;31956.0;...;15739.0;310.0;20.0;15409.0;6395.0;9014.0;15645.0;218.0;...;501.0
1905;Bezirk Kulm;2018-11-25;25593.0;...;11175.0;164.0;18.0;10993.0;4685.0;6308.0;10895.0;102.0;...;481.0
1906;Bezirk Laufenburg;2018-11-25;21197.0;...;9858.0;138.0;6.0;9714.0;3911.0;5803.0;9691.0;104.0;...;407.0
1907;Bezirk Lenzburg;2018-11-25;39561.0;...;18381.0;350.0;15.0;18016.0;7599.0;10417.0;18383.0;250.0;...;528.0
1908;Bezirk Muri;2018-11-25;23838.0;...;10693.0;170.0;1.0;10522.0;3461.0;7061.0;10532.0;118.0;...;374.0
1909;Bezirk Rheinfelden;2018-11-25;29296.0;...;12809.0;246.0;4.0;12559.0;5674.0;6885.0;12853.0;217.0;...;382.0
1910;Bezirk Zofingen;2018-11-25;44306.0;...;18841.0;322.0;5.0;18514.0;7948.0;10566.0;18175.0;239.0;...;1084.0
1911;Bezirk Zurzach;2018-11-25;20033.0;...;9609.0;145.0;7.0;9457.0;3829.0;5628.0;9245.0;107.0;...;547.0
4001;Aarau;2018-11-25;14298.0;...;7805.0;255.0;2.0;7548.0;3365.0;4183.0;7770.0;93.0;...;220.0
4002;Biberstein;2018-11-25;1191.0;...;663.0;8.0;...;655.0;303.0;352.0;655.0;5.0;...;17.0
4003;Buchs (AG);2018-11-25;4254.0;...;2010.0;31.0;1.0;1978.0;888.0;1090.0;2049.0;30.0;...;30.0
4004;Densbüren;2018-11-25;559.0;...;284.0;4.0;...;280.0;76.0;204.0;271.0;2.0;...;16.0
4005;Erlinsbach (AG);2018-11-25;2858.0;...;1509.0;24.0;...;1485.0;637.0;848.0;1476.0;21.0;...;75.0
4006;Gränichen;2018-11-25;4998.0;...;2230.0;40.0;1.0;2189.0;996.0;1193.0;2298.0;66.0;...;17.0
4007;Hirschthal;2018-11-25;1141.0;...;526.0;14.0;...;512.0;218.0;294.0;516.0;4.0;...;17.0
4008;Küttigen;2018-11-25;4252.0;...;2303.0;50.0;...;2253.0;1032.0;1221.0;2325.0;13.0;...;20.0
4009;Muhen;2018-11-25;2709.0;...;1255.0;12.0;...;1243.0;436.0;807.0;1257.0;10.0;...;15.0
4010;Oberentfelden;2018-11-25;4815.0;...;2009.0;55.0;...;1954.0;787.0;1167.0;2003.0;26.0;...;55.0
4012;Suhr;2018-11-25;5573.0;...;2431.0;59.0;1.0;2371.0;1113.0;1258.0;2510.0;48.0;...;9.0
4013;Unterentfelden;2018-11-25;2451.0;...;1212.0;26.0;...;1186.0;523.0;663.0;1220.0;20.0;...;31.0
