BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;EINGELBRIEF;UNGUELTIGBRIEF;EINGELURNEN
4309;Klingnau;2018-11-25;2072.0;942.0;16.0;6.0;920.0;295.0;625.0;954.0;18.0;40.0
4310;Koblenz;2018-11-25;810.0;345.0;7.0;2.0;336.0;135.0;201.0;337.0;2.0;20.0
4311;Leibstadt;2018-11-25;740.0;339.0;10.0;0.0;329.0;135.0;194.0;326.0;2.0;20.0
4312;Lengnau (AG);2018-11-25;1864.0;897.0;19.0;0.0;878.0;280.0;598.0;882.0;8.0;49.0
4313;Leuggern;2018-11-25;1450.0;699.0;4.0;2.0;693.0;263.0;430.0;692.0;2.0;27.0
4314;Mellikon;2018-11-25;149.0;83.0;5.0;0.0;78.0;33.0;45.0;59.0;0.0;24.0
4315;Rekingen (AG);2018-11-25;535.0;238.0;5.0;0.0;233.0;83.0;150.0;232.0;1.0;11.0
4316;Rietheim;2018-11-25;388.0;168.0;12.0;0.0;156.0;62.0;94.0;161.0;1.0;9.0
4317;Rümikon;2018-11-25;176.0;80.0;2.0;0.0;78.0;33.0;45.0;76.0;0.0;5.0
4318;Schneisingen;2018-11-25;1089.0;548.0;9.0;0.0;539.0;179.0;360.0;547.0;6.0;39.0
4319;Siglistorf;2018-11-25;393.0;218.0;3.0;0.0;215.0;60.0;155.0;212.0;0.0;8.0
4320;Tegerfelden;2018-11-25;785.0;334.0;3.0;0.0;331.0;99.0;232.0;324.0;1.0;16.0
4322;Wislikofen;2018-11-25;242.0;148.0;0.0;0.0;148.0;76.0;72.0;151.0;0.0;3.0
4323;Bad Zurzach;2018-11-25;2298.0;1030.0;15.0;0.0;1015.0;365.0;650.0;996.0;18.0;89.0
