BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
19;Kanton Aargau;2020-09-27;433195.0;246174.0;2840.0;102.0;243232.0;129537.0;113695.0;244976.0;3675.0;...;7442.0
1901;Bezirk Aarau;2020-09-27;49882.0;30037.0;349.0;11.0;29677.0;17109.0;12568.0;30372.0;585.0;...;560.0
1902;Bezirk Baden;2020-09-27;84974.0;50190.0;566.0;31.0;49593.0;29176.0;20417.0;49697.0;660.0;...;1632.0
1903;Bezirk Bremgarten;2020-09-27;48223.0;28180.0;303.0;18.0;27859.0;14018.0;13841.0;27966.0;410.0;...;979.0
1904;Bezirk Brugg;2020-09-27;32374.0;19276.0;221.0;6.0;19049.0;10458.0;8591.0;19322.0;300.0;...;439.0
1905;Bezirk Kulm;2020-09-27;25971.0;14193.0;177.0;13.0;14003.0;5939.0;8064.0;14192.0;218.0;...;358.0
1906;Bezirk Laufenburg;2020-09-27;21530.0;12179.0;135.0;2.0;12042.0;6191.0;5851.0;12142.0;168.0;...;369.0
1907;Bezirk Lenzburg;2020-09-27;40732.0;23501.0;294.0;7.0;23200.0;11928.0;11272.0;23451.0;374.0;...;664.0
1908;Bezirk Muri;2020-09-27;24390.0;14084.0;168.0;6.0;13910.0;6594.0;7316.0;14021.0;185.0;...;433.0
1909;Bezirk Rheinfelden;2020-09-27;29334.0;15740.0;156.0;1.0;15583.0;8892.0;6691.0;15662.0;229.0;...;465.0
1910;Bezirk Zofingen;2020-09-27;44801.0;24000.0;295.0;4.0;23701.0;11316.0;12385.0;23672.0;375.0;...;918.0
1911;Bezirk Zurzach;2020-09-27;20139.0;12007.0;145.0;3.0;11859.0;5786.0;6073.0;11653.0;156.0;...;624.0
4001;Aarau;2020-09-27;14471.0;9208.0;105.0;4.0;9099.0;6188.0;2911.0;9236.0;175.0;...;215.0
4002;Biberstein;2020-09-27;1183.0;795.0;5.0;...;790.0;426.0;364.0;801.0;18.0;...;17.0
4003;Buchs (AG);2020-09-27;4206.0;2271.0;18.0;...;2253.0;1314.0;939.0;2289.0;33.0;...;31.0
4004;Densbüren;2020-09-27;557.0;330.0;5.0;...;325.0;150.0;175.0;330.0;7.0;...;11.0
4005;Erlinsbach (AG);2020-09-27;2977.0;1876.0;15.0;3.0;1858.0;957.0;901.0;1847.0;13.0;...;50.0
4006;Gränichen;2020-09-27;5199.0;2874.0;39.0;...;2835.0;1410.0;1425.0;2938.0;80.0;...;45.0
4007;Hirschthal;2020-09-27;1177.0;696.0;10.0;...;686.0;321.0;365.0;701.0;11.0;...;16.0
4008;Küttigen;2020-09-27;4360.0;2846.0;25.0;3.0;2818.0;1623.0;1195.0;2835.0;16.0;...;37.0
4009;Muhen;2020-09-27;2762.0;1569.0;16.0;...;1553.0;681.0;872.0;1601.0;28.0;...;21.0
4010;Oberentfelden;2020-09-27;4803.0;2467.0;31.0;1.0;2435.0;1145.0;1290.0;2470.0;32.0;...;48.0
4012;Suhr;2020-09-27;5604.0;3498.0;63.0;...;3435.0;2040.0;1395.0;3695.0;135.0;...;29.0
4013;Unterentfelden;2020-09-27;2583.0;1607.0;17.0;...;1590.0;854.0;736.0;1629.0;37.0;...;40.0
4021;Baden;2020-09-27;12086.0;7833.0;70.0;3.0;7760.0;5522.0;2238.0;7617.0;125.0;...;378.0
4022;Bellikon;2020-09-27;1168.0;797.0;15.0;...;782.0;402.0;380.0;795.0;14.0;...;25.0
4023;Bergdietikon;2020-09-27;1861.0;1130.0;16.0;...;1114.0;516.0;598.0;1146.0;14.0;...;13.0
4024;Birmenstorf (AG);2020-09-27;1917.0;1156.0;14.0;...;1142.0;619.0;523.0;1161.0;12.0;...;17.0
4026;Ennetbaden;2020-09-27;2207.0;1612.0;18.0;...;1594.0;1152.0;442.0;1607.0;17.0;...;35.0
4027;Fislisbach;2020-09-27;3393.0;1873.0;24.0;...;1849.0;1014.0;835.0;1904.0;62.0;...;55.0
4028;Freienwil;2020-09-27;727.0;522.0;12.0;...;510.0;292.0;218.0;479.0;...;...;47.0
4029;Gebenstorf;2020-09-27;3309.0;1885.0;26.0;...;1859.0;1081.0;778.0;1871.0;16.0;...;46.0
4030;Killwangen;2020-09-27;1171.0;671.0;6.0;...;665.0;358.0;307.0;665.0;8.0;...;16.0
4031;Künten;2020-09-27;1247.0;715.0;11.0;...;704.0;328.0;376.0;705.0;8.0;...;24.0
4032;Mägenwil;2020-09-27;1274.0;701.0;7.0;...;694.0;362.0;332.0;688.0;8.0;...;23.0
4033;Mellingen;2020-09-27;3138.0;1667.0;19.0;...;1648.0;889.0;759.0;1652.0;11.0;...;39.0
4034;Neuenhof;2020-09-27;3760.0;1737.0;20.0;...;1717.0;929.0;788.0;1730.0;37.0;...;51.0
4035;Niederrohrdorf;2020-09-27;2740.0;1696.0;20.0;2.0;1674.0;954.0;720.0;1677.0;21.0;...;49.0
4037;Oberrohrdorf;2020-09-27;2796.0;1918.0;26.0;...;1892.0;1058.0;834.0;1912.0;22.0;...;43.0
4038;Obersiggenthal;2020-09-27;4916.0;2956.0;36.0;16.0;2904.0;1714.0;1190.0;2873.0;11.0;...;110.0
4039;Remetschwil;2020-09-27;1418.0;886.0;7.0;...;879.0;420.0;459.0;873.0;18.0;...;35.0
4040;Spreitenbach;2020-09-27;4705.0;1885.0;23.0;1.0;1861.0;1016.0;845.0;1882.0;13.0;...;40.0
4041;Stetten (AG);2020-09-27;1389.0;751.0;9.0;...;742.0;388.0;354.0;769.0;30.0;...;16.0
4042;Turgi;2020-09-27;1501.0;737.0;7.0;...;730.0;482.0;248.0;738.0;15.0;...;22.0
4044;Untersiggenthal;2020-09-27;4213.0;2569.0;15.0;7.0;2547.0;1474.0;1073.0;2541.0;33.0;...;79.0
4045;Wettingen;2020-09-27;12663.0;7655.0;82.0;1.0;7572.0;4608.0;2964.0;7683.0;96.0;...;191.0
4046;Wohlenschwil;2020-09-27;1054.0;618.0;11.0;...;607.0;346.0;261.0;598.0;4.0;...;28.0
4047;Würenlingen;2020-09-27;2902.0;1657.0;18.0;...;1639.0;794.0;845.0;1611.0;13.0;...;70.0
4048;Würenlos;2020-09-27;4198.0;2631.0;28.0;1.0;2602.0;1412.0;1190.0;2603.0;21.0;...;116.0
4049;Ehrendingen;2020-09-27;3221.0;1932.0;26.0;...;1906.0;1046.0;860.0;1917.0;31.0;...;64.0
4061;Arni (AG);2020-09-27;1293.0;851.0;13.0;...;838.0;438.0;400.0;830.0;6.0;...;41.0
4062;Berikon;2020-09-27;3159.0;1893.0;22.0;2.0;1869.0;975.0;894.0;1908.0;28.0;...;33.0
4063;Bremgarten (AG);2020-09-27;5355.0;3051.0;35.0;1.0;3015.0;1751.0;1264.0;3052.0;43.0;...;74.0
4064;Büttikon;2020-09-27;684.0;401.0;7.0;...;394.0;163.0;231.0;392.0;1.0;...;18.0
4065;Dottikon;2020-09-27;2028.0;1065.0;11.0;...;1054.0;488.0;566.0;1088.0;30.0;...;22.0
4066;Eggenwil;2020-09-27;689.0;443.0;5.0;...;438.0;216.0;222.0;435.0;2.0;...;13.0
4067;Fischbach-Göslikon;2020-09-27;1067.0;624.0;2.0;...;622.0;277.0;345.0;636.0;6.0;...;4.0
4068;Hägglingen;2020-09-27;1721.0;1054.0;20.0;...;1034.0;469.0;565.0;1063.0;30.0;...;36.0
4071;Jonen;2020-09-27;1467.0;934.0;10.0;...;924.0;507.0;417.0;933.0;10.0;...;13.0
4072;Niederwil (AG);2020-09-27;1894.0;1111.0;12.0;...;1099.0;514.0;585.0;1079.0;11.0;...;47.0
4073;Oberlunkhofen;2020-09-27;1464.0;953.0;10.0;...;943.0;504.0;439.0;947.0;5.0;...;28.0
4074;Oberwil-Lieli;2020-09-27;1777.0;1290.0;19.0;...;1271.0;664.0;607.0;1286.0;4.0;...;28.0
4075;Rudolfstetten-Friedlisberg;2020-09-27;2675.0;1396.0;11.0;12.0;1373.0;740.0;633.0;1388.0;9.0;...;43.0
4076;Sarmenstorf;2020-09-27;1993.0;1129.0;8.0;1.0;1120.0;498.0;622.0;1134.0;30.0;...;49.0
4077;Tägerig;2020-09-27;930.0;559.0;2.0;...;557.0;230.0;327.0;545.0;1.0;...;18.0
4078;Uezwil;2020-09-27;358.0;212.0;1.0;...;211.0;100.0;111.0;206.0;2.0;...;9.0
4079;Unterlunkhofen;2020-09-27;1085.0;696.0;7.0;...;689.0;332.0;357.0;693.0;11.0;...;24.0
4080;Villmergen;2020-09-27;4137.0;2189.0;25.0;1.0;2163.0;945.0;1218.0;2174.0;49.0;...;84.0
4081;Widen;2020-09-27;2566.0;1636.0;11.0;...;1625.0;867.0;758.0;1636.0;23.0;...;42.0
4082;Wohlen (AG);2020-09-27;8446.0;4534.0;51.0;...;4483.0;2226.0;2257.0;4400.0;82.0;...;293.0
4083;Zufikon;2020-09-27;2994.0;1865.0;21.0;...;1844.0;963.0;881.0;1841.0;18.0;...;57.0
4084;Islisberg;2020-09-27;441.0;294.0;...;1.0;293.0;151.0;142.0;300.0;9.0;...;3.0
4091;Auenstein;2020-09-27;1177.0;757.0;10.0;...;747.0;381.0;366.0;752.0;8.0;...;20.0
4092;Birr;2020-09-27;2022.0;955.0;4.0;...;951.0;500.0;451.0;988.0;35.0;...;22.0
4093;Birrhard;2020-09-27;539.0;298.0;...;...;298.0;132.0;166.0;291.0;...;...;11.0
4094;Bözen;2020-09-27;574.0;338.0;4.0;...;334.0;177.0;157.0;340.0;7.0;...;15.0
4095;Brugg;2020-09-27;7683.0;4639.0;56.0;1.0;4582.0;2825.0;1757.0;4567.0;63.0;...;161.0
4096;Effingen;2020-09-27;421.0;257.0;3.0;...;254.0;122.0;132.0;254.0;3.0;...;10.0
4097;Elfingen;2020-09-27;227.0;140.0;2.0;...;138.0;73.0;65.0;140.0;2.0;...;5.0
4099;Habsburg;2020-09-27;334.0;231.0;6.0;...;225.0;94.0;131.0;233.0;2.0;...;1.0
4100;Hausen (AG);2020-09-27;2285.0;1383.0;14.0;...;1369.0;708.0;661.0;1403.0;17.0;...;12.0
4104;Lupfig;2020-09-27;2113.0;1280.0;14.0;...;1266.0;621.0;645.0;1285.0;15.0;...;15.0
4105;Mandach;2020-09-27;237.0;151.0;1.0;...;150.0;57.0;93.0;137.0;1.0;...;16.0
4106;Mönthal;2020-09-27;295.0;175.0;1.0;...;174.0;70.0;104.0;181.0;4.0;...;...
4107;Mülligen;2020-09-27;704.0;385.0;3.0;...;382.0;218.0;164.0;383.0;8.0;...;14.0
4110;Remigen;2020-09-27;858.0;462.0;4.0;...;458.0;226.0;232.0;469.0;8.0;...;7.0
4111;Riniken;2020-09-27;962.0;561.0;5.0;...;556.0;272.0;284.0;556.0;8.0;...;17.0
4112;Rüfenach;2020-09-27;617.0;421.0;6.0;...;415.0;219.0;196.0;431.0;8.0;...;3.0
4117;Thalheim (AG);2020-09-27;612.0;406.0;2.0;...;404.0;157.0;247.0;426.0;14.0;...;1.0
4120;Veltheim (AG);2020-09-27;1007.0;574.0;3.0;2.0;569.0;280.0;289.0;581.0;10.0;...;11.0
4121;Villigen;2020-09-27;1310.0;818.0;7.0;...;811.0;401.0;410.0;822.0;15.0;...;15.0
4122;Villnachern;2020-09-27;1112.0;700.0;14.0;...;686.0;341.0;345.0;705.0;13.0;...;13.0
4123;Windisch;2020-09-27;4465.0;2606.0;39.0;1.0;2566.0;1758.0;808.0;2626.0;40.0;...;40.0
4124;Bözberg;2020-09-27;1221.0;746.0;10.0;...;736.0;355.0;381.0;750.0;6.0;...;13.0
4125;Schinznach;2020-09-27;1599.0;993.0;13.0;2.0;978.0;471.0;507.0;1002.0;13.0;...;17.0
4131;Beinwil am See;2020-09-27;2369.0;1468.0;16.0;...;1452.0;736.0;716.0;1443.0;14.0;...;46.0
4132;Birrwil;2020-09-27;870.0;560.0;5.0;...;555.0;252.0;303.0;552.0;7.0;...;17.0
4133;Burg (AG);2020-09-27;554.0;268.0;6.0;...;262.0;114.0;148.0;259.0;2.0;...;12.0
4134;Dürrenäsch;2020-09-27;911.0;595.0;7.0;...;588.0;235.0;353.0;598.0;7.0;...;12.0
4135;Gontenschwil;2020-09-27;1468.0;806.0;12.0;...;794.0;289.0;505.0;813.0;13.0;...;19.0
4136;Holziken;2020-09-27;1010.0;536.0;8.0;...;528.0;206.0;322.0;510.0;7.0;...;41.0
4137;Leimbach (AG);2020-09-27;355.0;205.0;1.0;...;204.0;79.0;125.0;207.0;5.0;...;4.0
4138;Leutwil;2020-09-27;563.0;380.0;1.0;...;379.0;145.0;234.0;377.0;10.0;...;16.0
4139;Menziken;2020-09-27;3273.0;1638.0;28.0;...;1610.0;675.0;935.0;1625.0;14.0;...;43.0
4140;Oberkulm;2020-09-27;1714.0;938.0;13.0;...;925.0;344.0;581.0;927.0;24.0;...;42.0
4141;Reinach (AG);2020-09-27;4404.0;2052.0;11.0;8.0;2033.0;831.0;1202.0;2076.0;46.0;...;34.0
4142;Schlossrued;2020-09-27;628.0;333.0;4.0;...;329.0;112.0;217.0;330.0;3.0;...;12.0
4143;Schmiedrued;2020-09-27;854.0;474.0;10.0;...;464.0;188.0;276.0;472.0;1.0;...;12.0
4144;Schöftland;2020-09-27;3100.0;1748.0;21.0;...;1727.0;818.0;909.0;1779.0;24.0;...;13.0
4145;Teufenthal (AG);2020-09-27;1051.0;599.0;10.0;...;589.0;253.0;336.0;590.0;10.0;...;21.0
4146;Unterkulm;2020-09-27;1881.0;989.0;12.0;4.0;973.0;420.0;553.0;1016.0;21.0;...;10.0
4147;Zetzwil;2020-09-27;966.0;604.0;12.0;1.0;591.0;242.0;349.0;618.0;10.0;...;4.0
4161;Eiken;2020-09-27;1468.0;704.0;1.0;...;703.0;374.0;329.0;715.0;29.0;...;28.0
