BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;EINGELBRIEF;UNGUELTIGBRIEF;EINGELURNEN
19;Kanton Aargau;2018-11-25;416494.0;189354.0;4561.0;148.0;184645.0;93569.0;91076.0;191522.0;2479.0;7121.0
1901;Bezirk Aarau;2018-11-25;49099.0;23883.0;627.0;7.0;23249.0;12780.0;10469.0;24350.0;338.0;522.0
1902;Bezirk Baden;2018-11-25;84189.0;39187.0;880.0;72.0;38235.0;21839.0;16396.0;39624.0;470.0;1430.0
1903;Bezirk Bremgarten;2018-11-25;47426.0;21746.0;481.0;5.0;21260.0;10482.0;10778.0;22129.0;316.0;865.0
1904;Bezirk Brugg;2018-11-25;31956.0;15457.0;362.0;5.0;15090.0;7752.0;7338.0;15645.0;218.0;501.0
1905;Bezirk Kulm;2018-11-25;25593.0;10947.0;248.0;14.0;10685.0;4304.0;6381.0;10895.0;102.0;481.0
1906;Bezirk Laufenburg;2018-11-25;21197.0;9725.0;238.0;6.0;9481.0;4327.0;5154.0;9691.0;104.0;407.0
1907;Bezirk Lenzburg;2018-11-25;39561.0;17950.0;450.0;21.0;17479.0;8535.0;8944.0;18383.0;250.0;528.0
1908;Bezirk Muri;2018-11-25;23838.0;10381.0;248.0;1.0;10132.0;4635.0;5497.0;10532.0;118.0;374.0
1909;Bezirk Rheinfelden;2018-11-25;29296.0;12402.0;366.0;4.0;12032.0;6422.0;5610.0;12853.0;217.0;382.0
1910;Bezirk Zofingen;2018-11-25;44306.0;18286.0;482.0;4.0;17800.0;8178.0;9622.0;18175.0;239.0;1084.0
1911;Bezirk Zurzach;2018-11-25;20033.0;9390.0;179.0;9.0;9202.0;4315.0;4887.0;9245.0;107.0;547.0
4001;Aarau;2018-11-25;14298.0;7686.0;232.0;3.0;7451.0;4692.0;2759.0;7770.0;93.0;220.0
4002;Biberstein;2018-11-25;1191.0;653.0;25.0;0.0;628.0;362.0;266.0;655.0;5.0;17.0
4003;Buchs (AG);2018-11-25;4254.0;1985.0;42.0;0.0;1943.0;1018.0;925.0;2049.0;30.0;30.0
4004;Densbüren;2018-11-25;559.0;282.0;7.0;0.0;275.0;108.0;167.0;271.0;2.0;16.0
4005;Erlinsbach (AG);2018-11-25;2858.0;1498.0;25.0;0.0;1473.0;748.0;725.0;1476.0;21.0;75.0
4006;Gränichen;2018-11-25;4998.0;2184.0;47.0;1.0;2136.0;1006.0;1130.0;2298.0;66.0;17.0
4007;Hirschthal;2018-11-25;1141.0;515.0;15.0;0.0;500.0;213.0;287.0;516.0;4.0;17.0
4008;Küttigen;2018-11-25;4252.0;2283.0;67.0;0.0;2216.0;1316.0;900.0;2325.0;13.0;20.0
4009;Muhen;2018-11-25;2709.0;1216.0;27.0;0.0;1189.0;525.0;664.0;1257.0;10.0;15.0
4010;Oberentfelden;2018-11-25;4815.0;1978.0;52.0;0.0;1926.0;894.0;1032.0;2003.0;26.0;55.0
4012;Suhr;2018-11-25;5573.0;2392.0;61.0;3.0;2328.0;1288.0;1040.0;2510.0;48.0;9.0
4013;Unterentfelden;2018-11-25;2451.0;1211.0;27.0;0.0;1184.0;610.0;574.0;1220.0;20.0;31.0
4021;Baden;2018-11-25;11774.0;6371.0;143.0;9.0;6219.0;4061.0;2158.0;6382.0;95.0;308.0
4022;Bellikon;2018-11-25;1167.0;617.0;16.0;0.0;601.0;307.0;294.0;618.0;9.0;25.0
