BFSNR;NAME;DATUM;STIMMBERECHTIGTE;AUSL_SCHWEIZER;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
19;Kanton Aargau;2018-09-23;425446.0;...;151642.0;911.0;64.0;150667.0;43399.0;107268.0;147671.0;1854.0;1448.0;5268.0
1901;Bezirk Aarau;2018-09-23;48918.0;...;19077.0;125.0;3.0;18949.0;6099.0;12850.0;18937.0;254.0;...;478.0
1902;Bezirk Baden;2018-09-23;84038.0;...;31363.0;200.0;6.0;31157.0;9205.0;21952.0;30707.0;332.0;...;1141.0
1903;Bezirk Bremgarten;2018-09-23;47439.0;...;17261.0;86.0;6.0;17169.0;4434.0;12735.0;16942.0;252.0;...;673.0
1904;Bezirk Brugg;2018-09-23;31805.0;...;12773.0;82.0;4.0;12687.0;3790.0;8897.0;12674.0;144.0;...;345.0
1905;Bezirk Kulm;2018-09-23;25548.0;...;8451.0;52.0;7.0;8392.0;2315.0;6077.0;8347.0;85.0;...;270.0
1906;Bezirk Laufenburg;2018-09-23;21195.0;...;7346.0;50.0;3.0;7293.0;1945.0;5348.0;7155.0;88.0;...;306.0
1907;Bezirk Lenzburg;2018-09-23;39471.0;...;13953.0;76.0;10.0;13867.0;4014.0;9853.0;13804.0;175.0;...;404.0
1908;Bezirk Muri;2018-09-23;23791.0;...;8126.0;37.0;1.0;8088.0;2145.0;5943.0;7994.0;89.0;...;248.0
1909;Bezirk Rheinfelden;2018-09-23;29242.0;...;9565.0;53.0;14.0;9498.0;2730.0;6768.0;9536.0;156.0;...;272.0
1910;Bezirk Zofingen;2018-09-23;44283.0;...;14037.0;91.0;1.0;13945.0;4017.0;9928.0;13633.0;162.0;...;663.0
1911;Bezirk Zurzach;2018-09-23;19996.0;...;7401.0;40.0;9.0;7352.0;1739.0;5613.0;7081.0;100.0;...;468.0
4001;Aarau;2018-09-23;14211.0;...;6204.0;54.0;...;6150.0;2316.0;3834.0;6090.0;87.0;...;223.0
4002;Biberstein;2018-09-23;1191.0;...;538.0;5.0;...;533.0;164.0;369.0;535.0;8.0;...;15.0
4003;Buchs (AG);2018-09-23;4252.0;...;1515.0;6.0;...;1509.0;486.0;1023.0;1509.0;16.0;...;26.0
4004;Densbüren;2018-09-23;559.0;...;200.0;1.0;...;199.0;51.0;148.0;192.0;1.0;...;9.0
4005;Erlinsbach (AG);2018-09-23;2856.0;...;1247.0;6.0;1.0;1240.0;306.0;934.0;1224.0;17.0;...;40.0
4006;Gränichen;2018-09-23;4996.0;...;1713.0;11.0;1.0;1701.0;525.0;1176.0;1732.0;25.0;...;31.0
4007;Hirschthal;2018-09-23;1135.0;...;395.0;2.0;...;393.0;88.0;305.0;388.0;4.0;...;11.0
4008;Küttigen;2018-09-23;4237.0;...;1837.0;14.0;1.0;1822.0;598.0;1224.0;1851.0;17.0;...;11.0
4009;Muhen;2018-09-23;2702.0;...;934.0;6.0;...;928.0;206.0;722.0;939.0;15.0;...;12.0
4010;Oberentfelden;2018-09-23;4794.0;...;1539.0;5.0;...;1534.0;402.0;1132.0;1509.0;20.0;...;57.0
4012;Suhr;2018-09-23;5545.0;...;1962.0;10.0;...;1952.0;699.0;1253.0;1987.0;29.0;...;16.0
4013;Unterentfelden;2018-09-23;2440.0;...;993.0;5.0;...;988.0;258.0;730.0;981.0;15.0;...;27.0
4021;Baden;2018-09-23;11742.0;...;4900.0;32.0;...;4868.0;1807.0;3061.0;4743.0;69.0;...;244.0
4022;Bellikon;2018-09-23;1161.0;...;476.0;2.0;...;474.0;118.0;356.0;457.0;1.0;...;23.0
4023;Bergdietikon;2018-09-23;1885.0;...;775.0;2.0;...;773.0;175.0;598.0;776.0;3.0;...;8.0
4024;Birmenstorf (AG);2018-09-23;1942.0;...;746.0;6.0;...;740.0;217.0;523.0;739.0;5.0;...;13.0
4026;Ennetbaden;2018-09-23;2202.0;...;1091.0;13.0;...;1078.0;432.0;646.0;1070.0;15.0;...;40.0
4027;Fislisbach;2018-09-23;3415.0;...;1160.0;8.0;...;1152.0;297.0;855.0;1170.0;20.0;...;15.0
4028;Freienwil;2018-09-23;713.0;...;298.0;...;...;298.0;108.0;190.0;273.0;1.0;...;28.0
4029;Gebenstorf;2018-09-23;3282.0;...;1202.0;8.0;...;1194.0;371.0;823.0;1189.0;11.0;...;30.0
4030;Killwangen;2018-09-23;1188.0;...;401.0;1.0;...;400.0;83.0;317.0;391.0;1.0;...;11.0
4031;Künten;2018-09-23;1192.0;...;395.0;1.0;...;394.0;98.0;296.0;394.0;7.0;...;8.0
4032;Mägenwil;2018-09-23;1303.0;...;424.0;1.0;...;423.0;99.0;324.0;420.0;6.0;...;11.0
4033;Mellingen;2018-09-23;3009.0;...;907.0;2.0;...;905.0;235.0;670.0;896.0;9.0;...;23.0
4034;Neuenhof;2018-09-23;3758.0;...;1040.0;9.0;...;1031.0;286.0;745.0;1039.0;18.0;...;20.0
4035;Niederrohrdorf;2018-09-23;2672.0;...;1014.0;7.0;...;1007.0;262.0;745.0;992.0;9.0;...;40.0
