BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
19;Kanton Aargau;2021-11-28;437516.0;280922.0;7177.0;146.0;273599.0;90384.0;183215.0;285370.0;5657.0;...;9527.0
1901;Bezirk Aarau;2021-11-28;50095.0;33534.0;885.0;21.0;32628.0;10955.0;21673.0;34640.0;756.0;...;696.0
1902;Bezirk Baden;2021-11-28;85319.0;55464.0;1367.0;20.0;54077.0;18107.0;35970.0;56381.0;993.0;...;1780.0
1903;Bezirk Bremgarten;2021-11-28;48603.0;31731.0;795.0;12.0;30924.0;10297.0;20627.0;32093.0;657.0;...;1265.0
1904;Bezirk Brugg;2021-11-28;32666.0;21703.0;540.0;8.0;21155.0;7213.0;13942.0;22134.0;378.0;...;629.0
1905;Bezirk Kulm;2021-11-28;26459.0;16892.0;425.0;40.0;16427.0;5368.0;11059.0;17258.0;383.0;...;564.0
1906;Bezirk Laufenburg;2021-11-28;21716.0;14131.0;393.0;2.0;13736.0;4369.0;9367.0;14203.0;219.0;...;518.0
1907;Bezirk Lenzburg;2021-11-28;41205.0;27167.0;676.0;14.0;26477.0;8624.0;17853.0;27612.0;581.0;...;846.0
1908;Bezirk Muri;2021-11-28;24822.0;16774.0;420.0;3.0;16351.0;5211.0;11140.0;17042.0;302.0;...;530.0
1909;Bezirk Rheinfelden;2021-11-28;29437.0;18491.0;455.0;7.0;18029.0;5738.0;12291.0;18752.0;385.0;...;666.0
1910;Bezirk Zofingen;2021-11-28;45224.0;28748.0;846.0;9.0;27893.0;9459.0;18434.0;29226.0;747.0;...;1218.0
1911;Bezirk Zurzach;2021-11-28;20533.0;13561.0;329.0;10.0;13222.0;4178.0;9044.0;13256.0;228.0;...;806.0
4001;Aarau;2021-11-28;14358.0;9952.0;332.0;6.0;9614.0;3324.0;6290.0;10197.0;182.0;...;242.0
4002;Biberstein;2021-11-28;1193.0;912.0;24.0;...;888.0;341.0;547.0;923.0;14.0;...;13.0
4003;Buchs (AG);2021-11-28;4236.0;2603.0;64.0;...;2539.0;877.0;1662.0;2776.0;75.0;...;37.0
4004;Densbüren;2021-11-28;558.0;391.0;5.0;...;386.0;108.0;278.0;391.0;5.0;...;13.0
4005;Erlinsbach (AG);2021-11-28;3024.0;2068.0;28.0;12.0;2028.0;695.0;1333.0;2088.0;35.0;...;64.0
4006;Gränichen;2021-11-28;5306.0;3443.0;102.0;...;3341.0;1098.0;2243.0;3588.0;101.0;...;62.0
4007;Hirschthal;2021-11-28;1153.0;798.0;17.0;...;781.0;271.0;510.0;822.0;23.0;...;30.0
