BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
4145;Teufenthal (AG);2020-09-27;1051.0;593.0;9.0;...;584.0;281.0;303.0;590.0;10.0;...;21.0
4146;Unterkulm;2020-09-27;1881.0;990.0;18.0;1.0;971.0;495.0;476.0;1016.0;21.0;...;10.0
4147;Zetzwil;2020-09-27;966.0;607.0;10.0;1.0;596.0;312.0;284.0;618.0;10.0;...;4.0
4161;Eiken;2020-09-27;1468.0;702.0;10.0;...;692.0;348.0;344.0;715.0;29.0;...;28.0
4163;Frick;2020-09-27;3419.0;1808.0;23.0;...;1785.0;909.0;876.0;1797.0;16.0;...;39.0
4164;Gansingen;2020-09-27;791.0;522.0;9.0;...;513.0;273.0;240.0;515.0;3.0;...;13.0
4165;Gipf-Oberfrick;2020-09-27;2605.0;1586.0;31.0;...;1555.0;720.0;835.0;1533.0;27.0;...;90.0
4166;Herznach;2020-09-27;1063.0;667.0;12.0;...;655.0;338.0;317.0;665.0;9.0;...;20.0
4167;Hornussen;2020-09-27;639.0;316.0;5.0;...;311.0;165.0;146.0;310.0;4.0;...;17.0
4169;Kaisten;2020-09-27;1818.0;984.0;10.0;...;974.0;494.0;480.0;997.0;3.0;...;11.0
4170;Laufenburg;2020-09-27;2004.0;1169.0;24.0;...;1145.0;632.0;513.0;1163.0;11.0;...;26.0
4172;Münchwilen (AG);2020-09-27;596.0;314.0;4.0;...;310.0;155.0;155.0;318.0;4.0;...;4.0
4173;Oberhof;2020-09-27;405.0;237.0;1.0;...;236.0;126.0;110.0;222.0;3.0;...;18.0
4175;Oeschgen;2020-09-27;716.0;399.0;10.0;1.0;388.0;208.0;180.0;376.0;2.0;...;30.0
4176;Schwaderloch;2020-09-27;428.0;233.0;2.0;...;231.0;112.0;119.0;242.0;5.0;...;6.0
4177;Sisseln;2020-09-27;968.0;457.0;2.0;...;455.0;225.0;230.0;461.0;12.0;...;16.0
4179;Ueken;2020-09-27;616.0;351.0;7.0;...;344.0;174.0;170.0;351.0;9.0;...;13.0
4181;Wittnau;2020-09-27;994.0;612.0;4.0;...;608.0;313.0;295.0;616.0;2.0;...;8.0
4182;Wölflinswil;2020-09-27;761.0;453.0;9.0;...;444.0;251.0;193.0;478.0;18.0;...;4.0
