BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
19;Kanton Aargau;2021-11-28;437516.0;284788.0;2649.0;79.0;282060.0;163618.0;118442.0;285370.0;5657.0;...;9527.0
1901;Bezirk Aarau;2021-11-28;50095.0;34047.0;316.0;12.0;33719.0;20582.0;13137.0;34640.0;756.0;...;696.0
1902;Bezirk Baden;2021-11-28;85319.0;56179.0;526.0;10.0;55643.0;31875.0;23768.0;56381.0;993.0;...;1780.0
1903;Bezirk Bremgarten;2021-11-28;48603.0;32160.0;304.0;9.0;31847.0;18018.0;13829.0;32093.0;657.0;...;1265.0
1904;Bezirk Brugg;2021-11-28;32666.0;21991.0;173.0;6.0;21812.0;12698.0;9114.0;22134.0;378.0;...;629.0
1905;Bezirk Kulm;2021-11-28;26459.0;17182.0;165.0;15.0;17002.0;9745.0;7257.0;17258.0;383.0;...;564.0
1906;Bezirk Laufenburg;2021-11-28;21716.0;14322.0;135.0;2.0;14185.0;8000.0;6185.0;14203.0;219.0;...;518.0
1907;Bezirk Lenzburg;2021-11-28;41205.0;27498.0;221.0;10.0;27267.0;16056.0;11211.0;27612.0;581.0;...;846.0
1908;Bezirk Muri;2021-11-28;24822.0;17062.0;187.0;2.0;16873.0;9430.0;7443.0;17042.0;302.0;...;530.0
1909;Bezirk Rheinfelden;2021-11-28;29437.0;18728.0;194.0;5.0;18529.0;10857.0;7672.0;18752.0;385.0;...;666.0
1910;Bezirk Zofingen;2021-11-28;45224.0;29206.0;286.0;6.0;28914.0;17318.0;11596.0;29226.0;747.0;...;1218.0
1911;Bezirk Zurzach;2021-11-28;20533.0;13680.0;115.0;2.0;13563.0;7515.0;6048.0;13256.0;228.0;...;806.0
4001;Aarau;2021-11-28;14358.0;10099.0;101.0;6.0;9992.0;6349.0;3643.0;10197.0;182.0;...;242.0
4002;Biberstein;2021-11-28;1193.0;920.0;6.0;...;914.0;509.0;405.0;923.0;14.0;...;13.0
4003;Buchs (AG);2021-11-28;4236.0;2661.0;26.0;...;2635.0;1653.0;982.0;2776.0;75.0;...;37.0
4004;Densbüren;2021-11-28;558.0;372.0;3.0;...;369.0;200.0;169.0;391.0;5.0;...;13.0
4005;Erlinsbach (AG);2021-11-28;3024.0;2093.0;9.0;5.0;2079.0;1150.0;929.0;2088.0;35.0;...;64.0
4006;Gränichen;2021-11-28;5306.0;3513.0;37.0;...;3476.0;2126.0;1350.0;3588.0;101.0;...;62.0
4007;Hirschthal;2021-11-28;1153.0;808.0;11.0;...;797.0;485.0;312.0;822.0;23.0;...;30.0
4008;Küttigen;2021-11-28;4403.0;3196.0;24.0;...;3172.0;1939.0;1233.0;3247.0;58.0;...;34.0
4009;Muhen;2021-11-28;2783.0;1857.0;14.0;...;1843.0;982.0;861.0;1880.0;36.0;...;45.0
4010;Oberentfelden;2021-11-28;4761.0;3008.0;24.0;...;2984.0;1731.0;1253.0;3030.0;50.0;...;70.0
4012;Suhr;2021-11-28;5731.0;3638.0;47.0;...;3591.0;2335.0;1256.0;3776.0;135.0;...;53.0
4013;Unterentfelden;2021-11-28;2589.0;1882.0;14.0;1.0;1867.0;1123.0;744.0;1922.0;42.0;...;33.0
4021;Baden;2021-11-28;12131.0;8282.0;69.0;1.0;8212.0;5119.0;3093.0;8126.0;121.0;...;336.0
4022;Bellikon;2021-11-28;1164.0;857.0;10.0;...;847.0;464.0;383.0;854.0;12.0;...;28.0
4023;Bergdietikon;2021-11-28;1884.0;1272.0;8.0;1.0;1263.0;583.0;680.0;1300.0;19.0;...;12.0
4024;Birmenstorf (AG);2021-11-28;1924.0;1319.0;9.0;...;1310.0;677.0;633.0;1319.0;13.0;...;29.0
4026;Ennetbaden;2021-11-28;2239.0;1690.0;16.0;2.0;1672.0;972.0;700.0;1701.0;27.0;...;31.0
4027;Fislisbach;2021-11-28;3442.0;2181.0;25.0;...;2156.0;1241.0;915.0;2254.0;72.0;...;40.0
4028;Freienwil;2021-11-28;755.0;562.0;8.0;...;554.0;325.0;229.0;532.0;5.0;...;39.0
4029;Gebenstorf;2021-11-28;3324.0;2132.0;22.0;...;2110.0;1214.0;896.0;2141.0;43.0;...;62.0
4030;Killwangen;2021-11-28;1193.0;767.0;7.0;3.0;757.0;445.0;312.0;768.0;6.0;...;17.0
4031;Künten;2021-11-28;1256.0;836.0;10.0;...;826.0;465.0;361.0;865.0;33.0;...;15.0
4032;Mägenwil;2021-11-28;1250.0;821.0;8.0;...;813.0;450.0;363.0;804.0;12.0;...;37.0
4033;Mellingen;2021-11-28;3194.0;1987.0;16.0;...;1971.0;1097.0;874.0;2024.0;48.0;...;56.0
4034;Neuenhof;2021-11-28;3670.0;1970.0;25.0;...;1945.0;1157.0;788.0;2032.0;62.0;...;35.0
4035;Niederrohrdorf;2021-11-28;2887.0;2016.0;19.0;1.0;1996.0;1102.0;894.0;2027.0;48.0;...;65.0
4037;Oberrohrdorf;2021-11-28;2787.0;1951.0;16.0;...;1935.0;993.0;942.0;1939.0;37.0;...;58.0
4038;Obersiggenthal;2021-11-28;4939.0;3280.0;9.0;...;3271.0;1835.0;1436.0;3203.0;21.0;...;131.0
4039;Remetschwil;2021-11-28;1444.0;1047.0;8.0;...;1039.0;523.0;516.0;990.0;4.0;...;67.0
4040;Spreitenbach;2021-11-28;4689.0;2407.0;30.0;...;2377.0;1450.0;927.0;2398.0;11.0;...;63.0
4041;Stetten (AG);2021-11-28;1430.0;928.0;6.0;...;922.0;511.0;411.0;938.0;42.0;...;44.0
4042;Turgi;2021-11-28;1507.0;885.0;12.0;...;873.0;570.0;303.0;896.0;25.0;...;32.0
4044;Untersiggenthal;2021-11-28;4245.0;2913.0;32.0;...;2881.0;1578.0;1303.0;2910.0;52.0;...;98.0
4045;Wettingen;2021-11-28;12554.0;8326.0;80.0;1.0;8245.0;4837.0;3408.0;8678.0;139.0;...;188.0
4046;Wohlenschwil;2021-11-28;1088.0;727.0;8.0;...;719.0;407.0;312.0;731.0;14.0;...;22.0
4047;Würenlingen;2021-11-28;2945.0;1929.0;22.0;...;1907.0;1009.0;898.0;1895.0;22.0;...;70.0
4048;Würenlos;2021-11-28;4179.0;2940.0;36.0;...;2904.0;1619.0;1285.0;2911.0;59.0;...;121.0
4049;Ehrendingen;2021-11-28;3199.0;2154.0;15.0;1.0;2138.0;1232.0;906.0;2145.0;46.0;...;84.0
4061;Arni (AG);2021-11-28;1294.0;958.0;6.0;...;952.0;503.0;449.0;923.0;9.0;...;60.0
4062;Berikon;2021-11-28;3202.0;2177.0;19.0;...;2158.0;1244.0;914.0;2205.0;51.0;...;46.0
4063;Bremgarten (AG);2021-11-28;5524.0;3565.0;31.0;...;3534.0;2229.0;1305.0;3602.0;84.0;...;142.0
4064;Büttikon;2021-11-28;723.0;482.0;1.0;...;481.0;256.0;225.0;489.0;11.0;...;13.0
4065;Dottikon;2021-11-28;2034.0;1210.0;14.0;...;1196.0;640.0;556.0;1238.0;41.0;...;35.0
4066;Eggenwil;2021-11-28;683.0;470.0;2.0;...;468.0;251.0;217.0;469.0;10.0;...;15.0
4067;Fischbach-Göslikon;2021-11-28;1073.0;737.0;16.0;...;721.0;391.0;330.0;757.0;12.0;...;11.0
4068;Hägglingen;2021-11-28;1707.0;1187.0;9.0;...;1178.0;615.0;563.0;1169.0;17.0;...;51.0
4071;Jonen;2021-11-28;1477.0;913.0;8.0;...;905.0;490.0;415.0;918.0;15.0;...;19.0
4072;Niederwil (AG);2021-11-28;1904.0;1274.0;13.0;...;1261.0;673.0;588.0;1265.0;35.0;...;59.0
4073;Oberlunkhofen;2021-11-28;1477.0;1066.0;7.0;...;1059.0;591.0;468.0;1040.0;6.0;...;41.0
4074;Oberwil-Lieli;2021-11-28;1802.0;1318.0;13.0;...;1305.0;683.0;622.0;1336.0;22.0;...;23.0
4075;Rudolfstetten-Friedlisberg;2021-11-28;2663.0;1668.0;16.0;8.0;1644.0;963.0;681.0;1680.0;39.0;...;55.0
4076;Sarmenstorf;2021-11-28;2032.0;1430.0;25.0;...;1405.0;754.0;651.0;1420.0;24.0;...;50.0
4077;Tägerig;2021-11-28;939.0;659.0;6.0;...;653.0;356.0;297.0;635.0;5.0;...;33.0
4078;Uezwil;2021-11-28;354.0;253.0;4.0;1.0;248.0;143.0;105.0;246.0;4.0;...;11.0
4079;Unterlunkhofen;2021-11-28;1096.0;792.0;5.0;...;787.0;445.0;342.0;780.0;13.0;...;31.0
4080;Villmergen;2021-11-28;4152.0;2625.0;24.0;...;2601.0;1473.0;1128.0;2621.0;66.0;...;105.0
4081;Widen;2021-11-28;2603.0;1875.0;20.0;...;1855.0;1012.0;843.0;1870.0;39.0;...;85.0
4082;Wohlen (AG);2021-11-28;8393.0;5035.0;49.0;...;4986.0;2946.0;2040.0;4963.0;122.0;...;319.0
4083;Zufikon;2021-11-28;3019.0;2131.0;14.0;...;2117.0;1162.0;955.0;2125.0;26.0;...;61.0
4084;Islisberg;2021-11-28;452.0;335.0;2.0;...;333.0;198.0;135.0;342.0;6.0;...;...
4091;Auenstein;2021-11-28;1214.0;873.0;5.0;...;868.0;513.0;355.0;866.0;15.0;...;33.0
4092;Birr;2021-11-28;1974.0;1143.0;5.0;1.0;1137.0;675.0;462.0;1203.0;46.0;...;15.0
4093;Birrhard;2021-11-28;539.0;341.0;2.0;...;339.0;181.0;158.0;355.0;9.0;...;8.0
4094;Bözen;2021-11-28;571.0;390.0;7.0;1.0;382.0;200.0;182.0;382.0;4.0;...;17.0
4095;Brugg;2021-11-28;7703.0;5115.0;41.0;2.0;5072.0;3036.0;2036.0;5064.0;62.0;...;232.0
4096;Effingen;2021-11-28;415.0;290.0;4.0;...;286.0;166.0;120.0;274.0;3.0;...;20.0
4097;Elfingen;2021-11-28;219.0;161.0;1.0;...;160.0;91.0;69.0;161.0;1.0;...;3.0
4099;Habsburg;2021-11-28;332.0;267.0;5.0;...;262.0;126.0;136.0;272.0;...;...;...
4100;Hausen (AG);2021-11-28;2299.0;1568.0;7.0;...;1561.0;840.0;721.0;1604.0;26.0;...;19.0
4104;Lupfig;2021-11-28;2150.0;1480.0;8.0;...;1472.0;846.0;626.0;1506.0;29.0;...;24.0
4105;Mandach;2021-11-28;236.0;177.0;2.0;...;175.0;101.0;74.0;163.0;...;...;15.0
4106;Mönthal;2021-11-28;289.0;191.0;2.0;...;189.0;106.0;83.0;193.0;2.0;...;1.0
4107;Mülligen;2021-11-28;697.0;466.0;10.0;...;456.0;286.0;170.0;463.0;8.0;...;19.0
4110;Remigen;2021-11-28;880.0;602.0;7.0;...;595.0;304.0;291.0;618.0;10.0;...;3.0
4111;Riniken;2021-11-28;969.0;654.0;3.0;...;651.0;363.0;288.0;667.0;11.0;...;15.0
4112;Rüfenach;2021-11-28;633.0;464.0;6.0;...;458.0;248.0;210.0;460.0;6.0;...;14.0
4117;Thalheim (AG);2021-11-28;652.0;484.0;2.0;1.0;481.0;255.0;226.0;477.0;6.0;...;14.0
4120;Veltheim (AG);2021-11-28;1016.0;688.0;4.0;1.0;683.0;389.0;294.0;702.0;20.0;...;23.0
4121;Villigen;2021-11-28;1325.0;912.0;8.0;...;904.0;521.0;383.0;909.0;6.0;...;21.0
4122;Villnachern;2021-11-28;1118.0;795.0;7.0;...;788.0;435.0;353.0;822.0;23.0;...;12.0
4123;Windisch;2021-11-28;4565.0;2980.0;17.0;...;2963.0;1934.0;1029.0;3031.0;58.0;...;52.0
4124;Bözberg;2021-11-28;1215.0;785.0;9.0;...;776.0;425.0;351.0;797.0;14.0;...;16.0
4125;Schinznach;2021-11-28;1655.0;1165.0;11.0;...;1154.0;657.0;497.0;1145.0;19.0;...;53.0
4131;Beinwil am See;2021-11-28;2383.0;1710.0;20.0;...;1690.0;1006.0;684.0;1687.0;30.0;...;78.0
4132;Birrwil;2021-11-28;904.0;647.0;5.0;...;642.0;345.0;297.0;643.0;15.0;...;26.0
4133;Burg (AG);2021-11-28;548.0;326.0;5.0;...;321.0;196.0;125.0;324.0;3.0;...;18.0
4134;Dürrenäsch;2021-11-28;925.0;666.0;9.0;...;657.0;381.0;276.0;665.0;6.0;...;15.0
4135;Gontenschwil;2021-11-28;1477.0;983.0;8.0;...;975.0;541.0;434.0;1015.0;42.0;...;27.0
4136;Holziken;2021-11-28;1103.0;692.0;5.0;2.0;685.0;364.0;321.0;706.0;24.0;...;19.0
4137;Leimbach (AG);2021-11-28;362.0;245.0;...;...;245.0;143.0;102.0;231.0;8.0;...;23.0
4138;Leutwil;2021-11-28;574.0;412.0;8.0;...;404.0;192.0;212.0;401.0;6.0;...;20.0
4139;Menziken;2021-11-28;3382.0;2010.0;11.0;1.0;1998.0;1189.0;809.0;2003.0;19.0;...;50.0
4140;Oberkulm;2021-11-28;1741.0;1167.0;11.0;...;1156.0;641.0;515.0;1168.0;29.0;...;44.0
4141;Reinach (AG);2021-11-28;4460.0;2544.0;27.0;8.0;2509.0;1454.0;1055.0;2610.0;95.0;...;81.0
4142;Schlossrued;2021-11-28;634.0;433.0;6.0;...;427.0;249.0;178.0;432.0;6.0;...;14.0
4143;Schmiedrued;2021-11-28;867.0;578.0;5.0;1.0;572.0;343.0;229.0;568.0;5.0;...;21.0
4144;Schöftland;2021-11-28;3108.0;2171.0;29.0;...;2142.0;1246.0;896.0;2204.0;35.0;...;41.0
4145;Teufenthal (AG);2021-11-28;1065.0;655.0;3.0;...;652.0;389.0;263.0;652.0;15.0;...;26.0
4146;Unterkulm;2021-11-28;1962.0;1243.0;4.0;3.0;1236.0;676.0;560.0;1236.0;26.0;...;48.0
4147;Zetzwil;2021-11-28;964.0;700.0;9.0;...;691.0;390.0;301.0;713.0;19.0;...;13.0
4161;Eiken;2021-11-28;1444.0;871.0;7.0;...;864.0;504.0;360.0;848.0;9.0;...;42.0
4163;Frick;2021-11-28;3464.0;2204.0;21.0;...;2183.0;1253.0;930.0;2215.0;37.0;...;63.0
4164;Gansingen;2021-11-28;772.0;570.0;2.0;...;568.0;287.0;281.0;557.0;4.0;...;21.0
4165;Gipf-Oberfrick;2021-11-28;2648.0;1895.0;22.0;...;1873.0;1076.0;797.0;1880.0;43.0;...;67.0
4166;Herznach;2021-11-28;1053.0;748.0;6.0;...;742.0;424.0;318.0;739.0;6.0;...;32.0
4167;Hornussen;2021-11-28;664.0;392.0;2.0;...;390.0;244.0;146.0;377.0;6.0;...;25.0
4169;Kaisten;2021-11-28;1844.0;1183.0;8.0;1.0;1174.0;687.0;487.0;1178.0;6.0;...;21.0
4170;Laufenburg;2021-11-28;2013.0;1329.0;19.0;...;1310.0;699.0;611.0;1314.0;14.0;...;43.0
4172;Münchwilen (AG);2021-11-28;594.0;383.0;6.0;...;377.0;183.0;194.0;370.0;5.0;...;23.0
4173;Oberhof;2021-11-28;403.0;282.0;2.0;...;280.0;154.0;126.0;277.0;2.0;...;21.0
4175;Oeschgen;2021-11-28;722.0;476.0;3.0;1.0;472.0;243.0;229.0;468.0;7.0;...;26.0
4176;Schwaderloch;2021-11-28;433.0;260.0;3.0;...;257.0;145.0;112.0;250.0;4.0;...;15.0
4177;Sisseln;2021-11-28;995.0;576.0;7.0;...;569.0;340.0;229.0;570.0;15.0;...;25.0
4179;Ueken;2021-11-28;647.0;422.0;3.0;...;419.0;242.0;177.0;422.0;7.0;...;14.0
4181;Wittnau;2021-11-28;999.0;695.0;5.0;...;690.0;403.0;287.0;692.0;9.0;...;20.0
4182;Wölflinswil;2021-11-28;761.0;553.0;4.0;...;549.0;308.0;241.0;560.0;22.0;...;19.0
4183;Zeihen;2021-11-28;794.0;484.0;...;...;484.0;300.0;184.0;489.0;10.0;...;11.0
4184;Mettauertal;2021-11-28;1466.0;999.0;15.0;...;984.0;508.0;476.0;997.0;13.0;...;30.0
4191;Ammerswil;2021-11-28;492.0;351.0;5.0;...;346.0;219.0;127.0;344.0;7.0;...;16.0
4192;Boniswil;2021-11-28;1107.0;806.0;5.0;...;801.0;492.0;309.0;806.0;11.0;...;25.0
4193;Brunegg;2021-11-28;534.0;334.0;5.0;...;329.0;177.0;152.0;321.0;6.0;...;19.0
4194;Dintikon;2021-11-28;1380.0;942.0;11.0;...;931.0;514.0;417.0;966.0;27.0;...;13.0
4195;Egliswil;2021-11-28;1078.0;739.0;3.0;...;736.0;421.0;315.0;735.0;17.0;...;32.0
4196;Fahrwangen;2021-11-28;1451.0;922.0;9.0;1.0;912.0;532.0;380.0;931.0;22.0;...;36.0
4197;Hallwil;2021-11-28;641.0;420.0;1.0;...;419.0;259.0;160.0;407.0;8.0;...;26.0
4198;Hendschiken;2021-11-28;858.0;562.0;3.0;...;559.0;343.0;216.0;580.0;18.0;...;18.0
4199;Holderbank (AG);2021-11-28;791.0;448.0;4.0;...;444.0;256.0;188.0;468.0;23.0;...;13.0
4200;Hunzenschwil;2021-11-28;2382.0;1381.0;7.0;...;1374.0;828.0;546.0;1357.0;15.0;...;55.0
4201;Lenzburg;2021-11-28;6566.0;4280.0;43.0;2.0;4235.0;2710.0;1525.0;4240.0;70.0;...;166.0
