BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
19;Kanton Aargau;2020-09-27;433195.0;246636.0;2899.0;107.0;243630.0;138569.0;105061.0;244976.0;3675.0;...;7442.0
1901;Bezirk Aarau;2020-09-27;49882.0;30106.0;407.0;13.0;29686.0;16214.0;13472.0;30372.0;585.0;...;560.0
1902;Bezirk Baden;2020-09-27;84974.0;50231.0;638.0;34.0;49559.0;26950.0;22609.0;49697.0;660.0;...;1632.0
1903;Bezirk Bremgarten;2020-09-27;48223.0;28254.0;298.0;19.0;27937.0;16116.0;11821.0;27966.0;410.0;...;979.0
1904;Bezirk Brugg;2020-09-27;32374.0;19331.0;241.0;8.0;19082.0;11049.0;8033.0;19322.0;300.0;...;439.0
1905;Bezirk Kulm;2020-09-27;25971.0;14215.0;147.0;8.0;14060.0;8943.0;5117.0;14192.0;218.0;...;358.0
1906;Bezirk Laufenburg;2020-09-27;21530.0;12213.0;121.0;2.0;12090.0;7011.0;5079.0;12142.0;168.0;...;369.0
1907;Bezirk Lenzburg;2020-09-27;40732.0;23551.0;248.0;6.0;23297.0;13519.0;9778.0;23451.0;374.0;...;664.0
1908;Bezirk Muri;2020-09-27;24390.0;14122.0;164.0;9.0;13949.0;8237.0;5712.0;14021.0;185.0;...;433.0
1909;Bezirk Rheinfelden;2020-09-27;29334.0;15765.0;178.0;1.0;15586.0;8314.0;7272.0;15662.0;229.0;...;465.0
1910;Bezirk Zofingen;2020-09-27;44801.0;24024.0;295.0;5.0;23724.0;13767.0;9957.0;23672.0;375.0;...;918.0
1911;Bezirk Zurzach;2020-09-27;20139.0;12038.0;108.0;2.0;11928.0;7090.0;4838.0;11653.0;156.0;...;624.0
4001;Aarau;2020-09-27;14471.0;9218.0;147.0;2.0;9069.0;4238.0;4831.0;9236.0;175.0;...;215.0
4002;Biberstein;2020-09-27;1183.0;793.0;9.0;...;784.0;442.0;342.0;801.0;18.0;...;17.0
4003;Buchs (AG);2020-09-27;4206.0;2270.0;29.0;...;2241.0;1262.0;979.0;2289.0;33.0;...;31.0
4004;Densbüren;2020-09-27;557.0;332.0;4.0;...;328.0;216.0;112.0;330.0;7.0;...;11.0
4005;Erlinsbach (AG);2020-09-27;2977.0;1871.0;11.0;7.0;1853.0;1188.0;665.0;1847.0;13.0;...;50.0
4006;Gränichen;2020-09-27;5199.0;2887.0;37.0;1.0;2849.0;1715.0;1134.0;2938.0;80.0;...;45.0
4007;Hirschthal;2020-09-27;1177.0;699.0;12.0;...;687.0;447.0;240.0;701.0;11.0;...;16.0
4008;Küttigen;2020-09-27;4360.0;2848.0;38.0;3.0;2807.0;1550.0;1257.0;2835.0;16.0;...;37.0
4009;Muhen;2020-09-27;2762.0;1573.0;19.0;...;1554.0;1022.0;532.0;1601.0;28.0;...;21.0
4010;Oberentfelden;2020-09-27;4803.0;2476.0;31.0;...;2445.0;1474.0;971.0;2470.0;32.0;...;48.0
4012;Suhr;2020-09-27;5604.0;3525.0;54.0;...;3471.0;1770.0;1701.0;3695.0;135.0;...;29.0
4013;Unterentfelden;2020-09-27;2583.0;1614.0;16.0;...;1598.0;890.0;708.0;1629.0;37.0;...;40.0
4021;Baden;2020-09-27;12086.0;7829.0;116.0;4.0;7709.0;3512.0;4197.0;7617.0;125.0;...;378.0
4022;Bellikon;2020-09-27;1168.0;797.0;10.0;...;787.0;472.0;315.0;795.0;14.0;...;25.0
4023;Bergdietikon;2020-09-27;1861.0;1131.0;16.0;...;1115.0;689.0;426.0;1146.0;14.0;...;13.0
4024;Birmenstorf (AG);2020-09-27;1917.0;1157.0;9.0;...;1148.0;713.0;435.0;1161.0;12.0;...;17.0
4026;Ennetbaden;2020-09-27;2207.0;1612.0;28.0;...;1584.0;746.0;838.0;1607.0;17.0;...;35.0
4027;Fislisbach;2020-09-27;3393.0;1875.0;31.0;...;1844.0;1043.0;801.0;1904.0;62.0;...;55.0
4028;Freienwil;2020-09-27;727.0;523.0;7.0;...;516.0;263.0;253.0;479.0;...;...;47.0
4029;Gebenstorf;2020-09-27;3309.0;1889.0;29.0;...;1860.0;1026.0;834.0;1871.0;16.0;...;46.0
4030;Killwangen;2020-09-27;1171.0;672.0;12.0;...;660.0;345.0;315.0;665.0;8.0;...;16.0
4031;Künten;2020-09-27;1247.0;717.0;11.0;...;706.0;423.0;283.0;705.0;8.0;...;24.0
4032;Mägenwil;2020-09-27;1274.0;703.0;3.0;...;700.0;450.0;250.0;688.0;8.0;...;23.0
4033;Mellingen;2020-09-27;3138.0;1674.0;16.0;...;1658.0;928.0;730.0;1652.0;11.0;...;39.0
4034;Neuenhof;2020-09-27;3760.0;1737.0;20.0;...;1717.0;973.0;744.0;1730.0;37.0;...;51.0
4035;Niederrohrdorf;2020-09-27;2740.0;1692.0;16.0;2.0;1674.0;1011.0;663.0;1677.0;21.0;...;49.0
4037;Oberrohrdorf;2020-09-27;2796.0;1917.0;27.0;...;1890.0;1156.0;734.0;1912.0;22.0;...;43.0
4038;Obersiggenthal;2020-09-27;4916.0;2967.0;50.0;15.0;2902.0;1547.0;1355.0;2873.0;11.0;...;110.0
4039;Remetschwil;2020-09-27;1418.0;887.0;8.0;...;879.0;548.0;331.0;873.0;18.0;...;35.0
4040;Spreitenbach;2020-09-27;4705.0;1886.0;27.0;1.0;1858.0;936.0;922.0;1882.0;13.0;...;40.0
4041;Stetten (AG);2020-09-27;1389.0;752.0;8.0;...;744.0;428.0;316.0;769.0;30.0;...;16.0
4042;Turgi;2020-09-27;1501.0;741.0;9.0;...;732.0;365.0;367.0;738.0;15.0;...;22.0
4044;Untersiggenthal;2020-09-27;4213.0;2570.0;13.0;10.0;2547.0;1428.0;1119.0;2541.0;33.0;...;79.0
4045;Wettingen;2020-09-27;12663.0;7671.0;94.0;...;7577.0;3853.0;3724.0;7683.0;96.0;...;191.0
4046;Wohlenschwil;2020-09-27;1054.0;617.0;10.0;...;607.0;354.0;253.0;598.0;4.0;...;28.0
4047;Würenlingen;2020-09-27;2902.0;1657.0;15.0;...;1642.0;1060.0;582.0;1611.0;13.0;...;70.0
4048;Würenlos;2020-09-27;4198.0;2631.0;29.0;1.0;2601.0;1581.0;1020.0;2603.0;21.0;...;116.0
4049;Ehrendingen;2020-09-27;3221.0;1927.0;24.0;1.0;1902.0;1100.0;802.0;1917.0;31.0;...;64.0
4061;Arni (AG);2020-09-27;1293.0;856.0;10.0;...;846.0;495.0;351.0;830.0;6.0;...;41.0
4062;Berikon;2020-09-27;3159.0;1887.0;20.0;3.0;1864.0;1109.0;755.0;1908.0;28.0;...;33.0
4063;Bremgarten (AG);2020-09-27;5355.0;3053.0;48.0;1.0;3004.0;1460.0;1544.0;3052.0;43.0;...;74.0
4064;Büttikon;2020-09-27;684.0;402.0;3.0;...;399.0;250.0;149.0;392.0;1.0;...;18.0
4065;Dottikon;2020-09-27;2028.0;1065.0;9.0;...;1056.0;657.0;399.0;1088.0;30.0;...;22.0
4066;Eggenwil;2020-09-27;689.0;442.0;3.0;...;439.0;242.0;197.0;435.0;2.0;...;13.0
4067;Fischbach-Göslikon;2020-09-27;1067.0;624.0;...;...;624.0;381.0;243.0;636.0;6.0;...;4.0
4068;Hägglingen;2020-09-27;1721.0;1059.0;12.0;...;1047.0;606.0;441.0;1063.0;30.0;...;36.0
4071;Jonen;2020-09-27;1467.0;933.0;13.0;1.0;919.0;516.0;403.0;933.0;10.0;...;13.0
4072;Niederwil (AG);2020-09-27;1894.0;1107.0;13.0;...;1094.0;662.0;432.0;1079.0;11.0;...;47.0
4073;Oberlunkhofen;2020-09-27;1464.0;959.0;11.0;...;948.0;551.0;397.0;947.0;5.0;...;28.0
4074;Oberwil-Lieli;2020-09-27;1777.0;1293.0;13.0;...;1280.0;822.0;458.0;1286.0;4.0;...;28.0
4075;Rudolfstetten-Friedlisberg;2020-09-27;2675.0;1404.0;9.0;12.0;1383.0;764.0;619.0;1388.0;9.0;...;43.0
4076;Sarmenstorf;2020-09-27;1993.0;1127.0;8.0;...;1119.0;740.0;379.0;1134.0;30.0;...;49.0
4077;Tägerig;2020-09-27;930.0;560.0;6.0;...;554.0;338.0;216.0;545.0;1.0;...;18.0
4078;Uezwil;2020-09-27;358.0;211.0;4.0;...;207.0;139.0;68.0;206.0;2.0;...;9.0
4079;Unterlunkhofen;2020-09-27;1085.0;699.0;14.0;...;685.0;381.0;304.0;693.0;11.0;...;24.0
4080;Villmergen;2020-09-27;4137.0;2188.0;22.0;...;2166.0;1301.0;865.0;2174.0;49.0;...;84.0
4081;Widen;2020-09-27;2566.0;1641.0;18.0;...;1623.0;950.0;673.0;1636.0;23.0;...;42.0
4082;Wohlen (AG);2020-09-27;8446.0;4580.0;43.0;1.0;4536.0;2517.0;2019.0;4400.0;82.0;...;293.0
4083;Zufikon;2020-09-27;2994.0;1870.0;17.0;...;1853.0;1048.0;805.0;1841.0;18.0;...;57.0
4084;Islisberg;2020-09-27;441.0;294.0;2.0;1.0;291.0;187.0;104.0;300.0;9.0;...;3.0
4091;Auenstein;2020-09-27;1177.0;756.0;10.0;1.0;745.0;479.0;266.0;752.0;8.0;...;20.0
4092;Birr;2020-09-27;2022.0;962.0;9.0;...;953.0;584.0;369.0;988.0;35.0;...;22.0
4093;Birrhard;2020-09-27;539.0;297.0;3.0;...;294.0;200.0;94.0;291.0;...;...;11.0
4094;Bözen;2020-09-27;574.0;340.0;7.0;...;333.0;209.0;124.0;340.0;7.0;...;15.0
