BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
19;Kanton Aargau;2023-06-18;441619.0;179902.0;2767.0;75.0;177060.0;136340.0;40720.0;178941.0;2246.0;...;5306.0
1901;Bezirk Aarau;2023-06-18;50174.0;22031.0;403.0;22.0;21606.0;16649.0;4957.0;22378.0;321.0;...;336.0
1902;Bezirk Baden;2023-06-18;86158.0;36767.0;531.0;13.0;36223.0;28859.0;7364.0;36366.0;396.0;...;1199.0
1903;Bezirk Bremgarten;2023-06-18;49095.0;20985.0;271.0;14.0;20700.0;15929.0;4771.0;20791.0;293.0;...;733.0
1904;Bezirk Brugg;2023-06-18;31543.0;14013.0;210.0;5.0;13798.0;10723.0;3075.0;14022.0;170.0;...;322.0
1905;Bezirk Kulm;2023-06-18;26712.0;9932.0;159.0;6.0;9767.0;6898.0;2869.0;9781.0;112.0;...;349.0
1906;Bezirk Laufenburg;2023-06-18;23115.0;9741.0;176.0;2.0;9563.0;7304.0;2259.0;9600.0;100.0;...;345.0
1907;Bezirk Lenzburg;2023-06-18;41869.0;17230.0;284.0;3.0;16943.0;12788.0;4155.0;17243.0;233.0;...;435.0
1908;Bezirk Muri;2023-06-18;25100.0;9915.0;149.0;2.0;9764.0;7340.0;2424.0;9923.0;120.0;...;198.0
1909;Bezirk Rheinfelden;2023-06-18;29356.0;11520.0;163.0;...;11357.0;9046.0;2311.0;11478.0;157.0;...;318.0
1910;Bezirk Zofingen;2023-06-18;45540.0;16595.0;268.0;2.0;16325.0;12032.0;4293.0;16276.0;199.0;...;700.0
1911;Bezirk Zurzach;2023-06-18;20719.0;8618.0;123.0;5.0;8490.0;6639.0;1851.0;8455.0;87.0;...;370.0
4001;Aarau;2023-06-18;14303.0;7028.0;157.0;1.0;6870.0;5315.0;1555.0;7052.0;79.0;...;119.0
4002;Biberstein;2023-06-18;1197.0;607.0;13.0;...;594.0;480.0;114.0;612.0;7.0;...;7.0
4003;Buchs (AG);2023-06-18;4279.0;1735.0;23.0;...;1712.0;1305.0;407.0;1760.0;26.0;...;21.0
4004;Densbüren;2023-06-18;575.0;221.0;5.0;...;216.0;154.0;62.0;221.0;4.0;...;8.0
4005;Erlinsbach (AG);2023-06-18;3001.0;1398.0;15.0;9.0;1374.0;1100.0;274.0;1409.0;16.0;...;23.0
4006;Gränichen;2023-06-18;5269.0;1975.0;35.0;...;1940.0;1458.0;482.0;2007.0;43.0;...;33.0
4007;Hirschthal;2023-06-18;1202.0;517.0;8.0;...;509.0;400.0;109.0;514.0;3.0;...;13.0
4008;Küttigen;2023-06-18;4569.0;2253.0;37.0;...;2216.0;1712.0;504.0;2335.0;32.0;...;27.0
4009;Muhen;2023-06-18;2775.0;1264.0;32.0;...;1232.0;923.0;309.0;1341.0;29.0;...;18.0
4010;Oberentfelden;2023-06-18;4740.0;1713.0;28.0;12.0;1673.0;1261.0;412.0;1725.0;22.0;...;36.0
4012;Suhr;2023-06-18;5682.0;2207.0;34.0;...;2173.0;1670.0;503.0;2274.0;44.0;...;15.0
4013;Unterentfelden;2023-06-18;2582.0;1113.0;16.0;...;1097.0;871.0;226.0;1128.0;16.0;...;16.0
4021;Baden;2023-06-18;12263.0;6126.0;119.0;1.0;6006.0;4776.0;1230.0;5971.0;79.0;...;296.0
4022;Bellikon;2023-06-18;1157.0;573.0;7.0;...;566.0;448.0;118.0;574.0;9.0;...;13.0
4023;Bergdietikon;2023-06-18;1878.0;867.0;13.0;1.0;853.0;706.0;147.0;874.0;10.0;...;11.0
4024;Birmenstorf (AG);2023-06-18;1923.0;820.0;15.0;...;805.0;635.0;170.0;827.0;14.0;...;21.0
4026;Ennetbaden;2023-06-18;2259.0;1214.0;15.0;...;1199.0;960.0;239.0;1213.0;14.0;...;27.0
4027;Fislisbach;2023-06-18;3642.0;1495.0;22.0;...;1473.0;1190.0;283.0;1495.0;29.0;...;42.0
4028;Freienwil;2023-06-18;751.0;390.0;8.0;...;382.0;315.0;67.0;373.0;1.0;...;24.0
4029;Gebenstorf;2023-06-18;3347.0;1354.0;15.0;...;1339.0;1056.0;283.0;1338.0;14.0;...;33.0
4030;Killwangen;2023-06-18;1190.0;420.0;4.0;1.0;415.0;341.0;74.0;420.0;3.0;...;5.0
4031;Künten;2023-06-18;1267.0;554.0;8.0;...;546.0;423.0;123.0;554.0;4.0;...;9.0
4032;Mägenwil;2023-06-18;1291.0;482.0;5.0;...;477.0;373.0;104.0;480.0;5.0;...;12.0
4033;Mellingen;2023-06-18;3222.0;1125.0;17.0;...;1108.0;909.0;199.0;1106.0;10.0;...;43.0
4034;Neuenhof;2023-06-18;3609.0;1129.0;11.0;...;1118.0;866.0;252.0;1141.0;19.0;...;21.0
4035;Niederrohrdorf;2023-06-18;2994.0;1254.0;11.0;...;1243.0;1035.0;208.0;1232.0;15.0;...;42.0
4037;Oberrohrdorf;2023-06-18;2813.0;1407.0;12.0;...;1395.0;1121.0;274.0;1397.0;22.0;...;43.0
4038;Obersiggenthal;2023-06-18;4927.0;2151.0;29.0;2.0;2120.0;1739.0;381.0;2071.0;9.0;...;99.0
4039;Remetschwil;2023-06-18;1463.0;659.0;8.0;...;651.0;524.0;127.0;629.0;5.0;...;38.0
4040;Spreitenbach;2023-06-18;4709.0;1251.0;13.0;1.0;1237.0;940.0;297.0;1248.0;4.0;...;20.0
4041;Stetten (AG);2023-06-18;1489.0;560.0;6.0;...;554.0;437.0;117.0;569.0;14.0;...;15.0
4042;Turgi;2023-06-18;1557.0;582.0;8.0;1.0;573.0;458.0;115.0;584.0;11.0;...;16.0
4044;Untersiggenthal;2023-06-18;4252.0;1830.0;32.0;2.0;1796.0;1407.0;389.0;1801.0;17.0;...;68.0
4045;Wettingen;2023-06-18;12484.0;5559.0;93.0;1.0;5465.0;4323.0;1142.0;5556.0;34.0;...;111.0
4046;Wohlenschwil;2023-06-18;1154.0;505.0;8.0;...;497.0;395.0;102.0;507.0;10.0;...;19.0
4047;Würenlingen;2023-06-18;3008.0;1202.0;9.0;...;1193.0;922.0;271.0;1190.0;15.0;...;45.0
4048;Würenlos;2023-06-18;4293.0;1882.0;22.0;3.0;1857.0;1501.0;356.0;1843.0;15.0;...;85.0
4049;Ehrendingen;2023-06-18;3216.0;1376.0;21.0;...;1355.0;1059.0;296.0;1373.0;14.0;...;41.0
4061;Arni (AG);2023-06-18;1301.0;617.0;7.0;1.0;609.0;502.0;107.0;609.0;4.0;...;32.0
4062;Berikon;2023-06-18;3224.0;1402.0;15.0;...;1387.0;1089.0;298.0;1402.0;20.0;...;35.0
4063;Bremgarten (AG);2023-06-18;5580.0;2285.0;37.0;...;2248.0;1712.0;536.0;2272.0;30.0;...;63.0
4064;Büttikon;2023-06-18;721.0;285.0;...;...;285.0;209.0;76.0;280.0;5.0;...;13.0
4065;Dottikon;2023-06-18;2014.0;858.0;14.0;...;844.0;669.0;175.0;868.0;22.0;...;23.0
4066;Eggenwil;2023-06-18;683.0;330.0;5.0;...;325.0;254.0;71.0;342.0;7.0;...;5.0
4067;Fischbach-Göslikon;2023-06-18;1083.0;425.0;7.0;...;418.0;296.0;122.0;429.0;6.0;...;8.0
4068;Hägglingen;2023-06-18;1699.0;750.0;8.0;...;742.0;550.0;192.0;757.0;14.0;...;12.0
4071;Jonen;2023-06-18;1540.0;735.0;10.0;...;725.0;603.0;122.0;731.0;9.0;...;23.0
4072;Niederwil (AG);2023-06-18;1998.0;836.0;9.0;...;827.0;623.0;204.0;808.0;11.0;...;51.0
4073;Oberlunkhofen;2023-06-18;1509.0;765.0;5.0;...;760.0;592.0;168.0;754.0;8.0;...;29.0
