BFSNR;NAME;DATUM;STIMMBERECHTIGTE;AUSL_SCHWEIZER;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
19;Kanton Aargau;2018-11-25;426271.0;...;197368.0;1977.0;73.0;195318.0;137884.0;57434.0;192470.0;2497.0;1937.0;7123.0
1901;Bezirk Aarau;2018-11-25;49099.0;...;24360.0;261.0;4.0;24095.0;16165.0;7930.0;24350.0;338.0;...;522.0
1902;Bezirk Baden;2018-11-25;84189.0;...;40248.0;390.0;13.0;39845.0;27553.0;12292.0;39624.0;470.0;...;1430.0
1903;Bezirk Bremgarten;2018-11-25;47426.0;...;22521.0;203.0;5.0;22313.0;16356.0;5957.0;22129.0;316.0;...;865.0
1904;Bezirk Brugg;2018-11-25;31956.0;...;15762.0;187.0;16.0;15559.0;10811.0;4748.0;15645.0;218.0;...;501.0
1905;Bezirk Kulm;2018-11-25;25593.0;...;11186.0;96.0;8.0;11082.0;8103.0;2979.0;10895.0;102.0;...;481.0
1906;Bezirk Laufenburg;2018-11-25;21197.0;...;9908.0;113.0;5.0;9790.0;6788.0;3002.0;9691.0;104.0;...;407.0
1907;Bezirk Lenzburg;2018-11-25;39561.0;...;18454.0;190.0;10.0;18254.0;13095.0;5159.0;18383.0;250.0;...;528.0
1908;Bezirk Muri;2018-11-25;23838.0;...;10709.0;97.0;...;10612.0;7990.0;2622.0;10532.0;118.0;...;374.0
1909;Bezirk Rheinfelden;2018-11-25;29296.0;...;12854.0;128.0;4.0;12722.0;8865.0;3857.0;12853.0;217.0;...;382.0
1910;Bezirk Zofingen;2018-11-25;44306.0;...;18866.0;198.0;1.0;18667.0;13313.0;5354.0;18175.0;239.0;...;1084.0
1911;Bezirk Zurzach;2018-11-25;20033.0;...;9634.0;72.0;6.0;9556.0;6997.0;2559.0;9245.0;107.0;...;547.0
4001;Aarau;2018-11-25;14298.0;...;7830.0;106.0;2.0;7722.0;4606.0;3116.0;7770.0;93.0;...;220.0
4002;Biberstein;2018-11-25;1191.0;...;667.0;7.0;...;660.0;459.0;201.0;655.0;5.0;...;17.0
4003;Buchs (AG);2018-11-25;4254.0;...;2026.0;16.0;...;2010.0;1369.0;641.0;2049.0;30.0;...;30.0
4004;Densbüren;2018-11-25;559.0;...;283.0;4.0;...;279.0;192.0;87.0;271.0;2.0;...;16.0
4005;Erlinsbach (AG);2018-11-25;2858.0;...;1518.0;10.0;...;1508.0;1093.0;415.0;1476.0;21.0;...;75.0
4006;Gränichen;2018-11-25;4998.0;...;2234.0;20.0;...;2214.0;1570.0;644.0;2298.0;66.0;...;17.0
4007;Hirschthal;2018-11-25;1141.0;...;522.0;10.0;...;512.0;414.0;98.0;516.0;4.0;...;17.0
4008;Küttigen;2018-11-25;4252.0;...;2312.0;25.0;...;2287.0;1502.0;785.0;2325.0;13.0;...;20.0
4009;Muhen;2018-11-25;2709.0;...;1262.0;10.0;...;1252.0;960.0;292.0;1257.0;10.0;...;15.0
4010;Oberentfelden;2018-11-25;4815.0;...;2024.0;18.0;...;2006.0;1480.0;526.0;2003.0;26.0;...;55.0
4012;Suhr;2018-11-25;5573.0;...;2468.0;25.0;2.0;2441.0;1624.0;817.0;2510.0;48.0;...;9.0
4013;Unterentfelden;2018-11-25;2451.0;...;1214.0;10.0;...;1204.0;896.0;308.0;1220.0;20.0;...;31.0
4021;Baden;2018-11-25;11774.0;...;6538.0;73.0;6.0;6459.0;3845.0;2614.0;6382.0;95.0;...;308.0
4022;Bellikon;2018-11-25;1167.0;...;631.0;8.0;...;623.0;452.0;171.0;618.0;9.0;...;25.0
4023;Bergdietikon;2018-11-25;1870.0;...;1004.0;7.0;...;997.0;798.0;199.0;1009.0;9.0;...;7.0
4024;Birmenstorf (AG);2018-11-25;1940.0;...;928.0;9.0;...;919.0;699.0;220.0;924.0;14.0;...;21.0
4026;Ennetbaden;2018-11-25;2195.0;...;1351.0;12.0;...;1339.0;781.0;558.0;1321.0;12.0;...;47.0
4027;Fislisbach;2018-11-25;3416.0;...;1464.0;12.0;1.0;1451.0;1030.0;421.0;1440.0;17.0;...;48.0
4028;Freienwil;2018-11-25;720.0;...;417.0;7.0;1.0;409.0;270.0;139.0;375.0;2.0;...;46.0
4029;Gebenstorf;2018-11-25;3274.0;...;1498.0;17.0;...;1481.0;1047.0;434.0;1495.0;19.0;...;31.0
