BFSNR;NAME;DATUM;STIMMBERECHTIGTE;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN
19;Kanton Aargau;2023-06-18;429381.0;176313.0;2188.0;0.0;5305.0;174040.0;2818.0;65.0;171157.0;54929.0;116228.0
1901;Bezirk Aarau;2023-06-18;50174.0;22378.0;321.0;0.0;336.0;21705.0;320.0;19.0;21366.0;8400.0;12966.0
1902;Bezirk Baden;2023-06-18;86158.0;36366.0;396.0;0.0;1199.0;36200.0;627.0;10.0;35563.0;12837.0;22726.0
1903;Bezirk Bremgarten;2023-06-18;49095.0;20791.0;293.0;0.0;733.0;20205.0;361.0;8.0;19836.0;5705.0;14131.0
1904;Bezirk Brugg;2023-06-18;31543.0;14022.0;170.0;0.0;322.0;13811.0;245.0;5.0;13561.0;4504.0;9057.0
1905;Bezirk Kulm;2023-06-18;26712.0;9781.0;112.0;0.0;349.0;9770.0;147.0;10.0;9613.0;2317.0;7296.0
1906;Bezirk Laufenburg;2023-06-18;23115.0;9600.0;100.0;0.0;345.0;9677.0;151.0;2.0;9524.0;2820.0;6704.0
1907;Bezirk Lenzburg;2023-06-18;41869.0;17243.0;233.0;0.0;435.0;16968.0;241.0;2.0;16725.0;5137.0;11588.0
1908;Bezirk Muri;2023-06-18;25100.0;9923.0;120.0;0.0;198.0;9649.0;159.0;1.0;9489.0;2497.0;6992.0
1909;Bezirk Rheinfelden;2023-06-18;29356.0;11478.0;157.0;0.0;318.0;11357.0;213.0;0.0;11144.0;3704.0;7440.0
1910;Bezirk Zofingen;2023-06-18;45540.0;16276.0;199.0;0.0;700.0;16173.0;230.0;1.0;15942.0;4743.0;11199.0
1911;Bezirk Zurzach;2023-06-18;20719.0;8455.0;87.0;0.0;370.0;8525.0;124.0;7.0;8394.0;2265.0;6129.0
4001;Aarau;2023-06-18;14303.0;7052.0;79.0;0.0;119.0;6923.0;111.0;0.0;6812.0;3483.0;3329.0
4002;Biberstein;2023-06-18;1197.0;612.0;7.0;0.0;7.0;598.0;11.0;0.0;587.0;221.0;366.0
4003;Buchs (AG);2023-06-18;4279.0;1760.0;26.0;0.0;21.0;1709.0;20.0;0.0;1689.0;599.0;1090.0
4004;Densbüren;2023-06-18;575.0;221.0;4.0;0.0;8.0;216.0;1.0;0.0;215.0;57.0;158.0
4005;Erlinsbach (AG);2023-06-18;3001.0;1409.0;16.0;0.0;23.0;1368.0;10.0;2.0;1356.0;428.0;928.0
4006;Gränichen;2023-06-18;5269.0;2007.0;43.0;0.0;33.0;1922.0;28.0;0.0;1894.0;539.0;1355.0
4007;Hirschthal;2023-06-18;1202.0;514.0;3.0;0.0;13.0;513.0;3.0;0.0;510.0;110.0;400.0
4008;Küttigen;2023-06-18;4569.0;2335.0;32.0;0.0;27.0;2212.0;41.0;0.0;2171.0;902.0;1269.0
4009;Muhen;2023-06-18;2775.0;1341.0;29.0;0.0;18.0;1255.0;28.0;0.0;1227.0;296.0;931.0
4010;Oberentfelden;2023-06-18;4740.0;1725.0;22.0;0.0;36.0;1682.0;21.0;15.0;1646.0;465.0;1181.0
4012;Suhr;2023-06-18;5682.0;2274.0;44.0;0.0;15.0;2204.0;35.0;2.0;2167.0;941.0;1226.0
4013;Unterentfelden;2023-06-18;2582.0;1128.0;16.0;0.0;16.0;1103.0;11.0;0.0;1092.0;359.0;733.0
4021;Baden;2023-06-18;12263.0;5971.0;79.0;0.0;296.0;6045.0;111.0;1.0;5933.0;2904.0;3029.0
4022;Bellikon;2023-06-18;1157.0;574.0;9.0;0.0;13.0;548.0;8.0;0.0;540.0;148.0;392.0
4023;Bergdietikon;2023-06-18;1878.0;874.0;10.0;0.0;11.0;843.0;23.0;0.0;820.0;212.0;608.0
4024;Birmenstorf (AG);2023-06-18;1923.0;827.0;14.0;0.0;21.0;821.0;6.0;0.0;815.0;223.0;592.0
4026;Ennetbaden;2023-06-18;2259.0;1213.0;14.0;0.0;27.0;1192.0;25.0;0.0;1167.0;604.0;563.0
4027;Fislisbach;2023-06-18;3642.0;1495.0;29.0;0.0;42.0;1472.0;25.0;1.0;1446.0;442.0;1004.0
4028;Freienwil;2023-06-18;751.0;373.0;1.0;0.0;24.0;383.0;5.0;0.0;378.0;135.0;243.0
4029;Gebenstorf;2023-06-18;3347.0;1338.0;14.0;0.0;33.0;1324.0;23.0;0.0;1301.0;457.0;844.0
4030;Killwangen;2023-06-18;1190.0;420.0;3.0;0.0;5.0;408.0;9.0;0.0;399.0;106.0;293.0
4031;Künten;2023-06-18;1267.0;554.0;4.0;0.0;9.0;550.0;5.0;0.0;545.0;139.0;406.0
4032;Mägenwil;2023-06-18;1291.0;480.0;5.0;0.0;12.0;480.0;5.0;0.0;475.0;118.0;357.0
4033;Mellingen;2023-06-18;3222.0;1106.0;10.0;0.0;43.0;1111.0;13.0;1.0;1097.0;321.0;776.0
4034;Neuenhof;2023-06-18;3609.0;1141.0;19.0;0.0;21.0;1116.0;17.0;0.0;1099.0;329.0;770.0
4035;Niederrohrdorf;2023-06-18;2994.0;1232.0;15.0;0.0;42.0;1222.0;23.0;0.0;1199.0;412.0;787.0
4037;Oberrohrdorf;2023-06-18;2813.0;1397.0;22.0;0.0;43.0;1386.0;21.0;0.0;1365.0;376.0;989.0
4038;Obersiggenthal;2023-06-18;4927.0;2071.0;9.0;0.0;99.0;2126.0;21.0;2.0;2103.0;806.0;1297.0
4039;Remetschwil;2023-06-18;1463.0;629.0;5.0;0.0;38.0;652.0;17.0;0.0;635.0;150.0;485.0
4040;Spreitenbach;2023-06-18;4709.0;1248.0;4.0;0.0;20.0;1219.0;17.0;1.0;1201.0;353.0;848.0
4041;Stetten (AG);2023-06-18;1489.0;569.0;14.0;0.0;15.0;546.0;8.0;0.0;538.0;147.0;391.0
4042;Turgi;2023-06-18;1557.0;584.0;11.0;0.0;16.0;578.0;12.0;0.0;566.0;254.0;312.0
4044;Untersiggenthal;2023-06-18;4252.0;1801.0;17.0;0.0;68.0;1797.0;33.0;2.0;1762.0;640.0;1122.0
4045;Wettingen;2023-06-18;12484.0;5556.0;34.0;0.0;111.0;5488.0;123.0;1.0;5364.0;2144.0;3220.0
4046;Wohlenschwil;2023-06-18;1154.0;507.0;10.0;0.0;19.0;494.0;11.0;0.0;483.0;154.0;329.0
4047;Würenlingen;2023-06-18;3008.0;1190.0;15.0;0.0;45.0;1194.0;13.0;0.0;1181.0;323.0;858.0
4048;Würenlos;2023-06-18;4293.0;1843.0;15.0;0.0;85.0;1846.0;25.0;0.0;1821.0;551.0;1270.0
4049;Ehrendingen;2023-06-18;3216.0;1373.0;14.0;0.0;41.0;1359.0;28.0;1.0;1330.0;389.0;941.0
4061;Arni (AG);2023-06-18;1301.0;609.0;4.0;0.0;32.0;587.0;13.0;0.0;574.0;175.0;399.0
4062;Berikon;2023-06-18;3224.0;1402.0;20.0;0.0;35.0;1320.0;22.0;0.0;1298.0;383.0;915.0
4063;Bremgarten (AG);2023-06-18;5580.0;2272.0;30.0;0.0;63.0;2169.0;32.0;2.0;2135.0;811.0;1324.0
4064;Büttikon;2023-06-18;721.0;280.0;5.0;0.0;13.0;277.0;1.0;0.0;276.0;54.0;222.0
4065;Dottikon;2023-06-18;2014.0;868.0;22.0;0.0;23.0;842.0;13.0;0.0;829.0;190.0;639.0
4066;Eggenwil;2023-06-18;683.0;342.0;7.0;0.0;5.0;323.0;5.0;0.0;318.0;89.0;229.0
4067;Fischbach-Göslikon;2023-06-18;1083.0;429.0;6.0;0.0;8.0;414.0;10.0;0.0;404.0;98.0;306.0
4068;Hägglingen;2023-06-18;1699.0;757.0;14.0;0.0;12.0;740.0;7.0;0.0;733.0;211.0;522.0
4071;Jonen;2023-06-18;1540.0;731.0;9.0;0.0;23.0;708.0;4.0;0.0;704.0;219.0;485.0
4072;Niederwil (AG);2023-06-18;1998.0;808.0;11.0;0.0;51.0;833.0;9.0;0.0;824.0;189.0;635.0
4073;Oberlunkhofen;2023-06-18;1509.0;754.0;8.0;0.0;29.0;730.0;18.0;0.0;712.0;200.0;512.0
4074;Oberwil-Lieli;2023-06-18;1847.0;947.0;12.0;0.0;29.0;910.0;19.0;0.0;891.0;260.0;631.0
4075;Rudolfstetten-Friedlisberg;2023-06-18;2638.0;1027.0;10.0;0.0;28.0;942.0;39.0;3.0;900.0;292.0;608.0
4076;Sarmenstorf;2023-06-18;2095.0;854.0;2.0;0.0;37.0;837.0;11.0;0.0;826.0;208.0;618.0
4077;Tägerig;2023-06-18;973.0;401.0;3.0;0.0;6.0;386.0;7.0;0.0;379.0;97.0;282.0
4078;Uezwil;2023-06-18;350.0;140.0;3.0;0.0;8.0;138.0;2.0;0.0;136.0;31.0;105.0
4079;Unterlunkhofen;2023-06-18;1092.0;502.0;7.0;0.0;14.0;492.0;10.0;0.0;482.0;126.0;356.0
4080;Villmergen;2023-06-18;4217.0;1450.0;24.0;0.0;32.0;1415.0;22.0;0.0;1393.0;315.0;1078.0
4081;Widen;2023-06-18;2577.0;1249.0;11.0;0.0;34.0;1219.0;26.0;0.0;1193.0;377.0;816.0
4082;Wohlen (AG);2023-06-18;8420.0;3397.0;68.0;0.0;212.0;3416.0;63.0;3.0;3350.0;969.0;2381.0
4083;Zufikon;2023-06-18;3057.0;1320.0;14.0;0.0;32.0;1263.0;21.0;0.0;1242.0;336.0;906.0
4084;Islisberg;2023-06-18;477.0;252.0;3.0;0.0;7.0;244.0;7.0;0.0;237.0;75.0;162.0
4091;Auenstein;2023-06-18;1229.0;560.0;3.0;0.0;17.0;555.0;11.0;0.0;544.0;148.0;396.0
4092;Birr;2023-06-18;1991.0;650.0;16.0;0.0;17.0;635.0;11.0;0.0;624.0;157.0;467.0
4093;Birrhard;2023-06-18;520.0;217.0;3.0;0.0;6.0;209.0;0.0;0.0;209.0;46.0;163.0
4095;Brugg;2023-06-18;7695.0;3498.0;47.0;0.0;127.0;3459.0;61.0;2.0;3396.0;1391.0;2005.0
4099;Habsburg;2023-06-18;335.0;186.0;0.0;0.0;3.0;186.0;3.0;0.0;183.0;51.0;132.0
4100;Hausen (AG);2023-06-18;2279.0;932.0;7.0;0.0;18.0;916.0;14.0;0.0;902.0;207.0;695.0
4104;Lupfig;2023-06-18;2190.0;961.0;11.0;0.0;10.0;949.0;12.0;0.0;937.0;248.0;689.0
4105;Mandach;2023-06-18;239.0;107.0;0.0;0.0;7.0;109.0;0.0;0.0;109.0;24.0;85.0
4106;Mönthal;2023-06-18;297.0;125.0;0.0;0.0;4.0;125.0;1.0;0.0;124.0;25.0;99.0
4107;Mülligen;2023-06-18;697.0;291.0;2.0;0.0;11.0;291.0;5.0;0.0;286.0;97.0;189.0
4110;Remigen;2023-06-18;878.0;407.0;4.0;0.0;8.0;404.0;2.0;0.0;402.0;110.0;292.0
4111;Riniken;2023-06-18;974.0;423.0;10.0;0.0;7.0;415.0;8.0;2.0;405.0;134.0;271.0
4112;Rüfenach;2023-06-18;615.0;301.0;6.0;0.0;0.0;294.0;12.0;0.0;282.0;77.0;205.0
4117;Thalheim (AG);2023-06-18;679.0;317.0;2.0;0.0;3.0;311.0;0.0;0.0;311.0;79.0;232.0
4120;Veltheim (AG);2023-06-18;1009.0;397.0;3.0;0.0;9.0;397.0;3.0;1.0;393.0;102.0;291.0
