BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;EINGELBRIEF;UNGUELTIGBRIEF;EINGELURNEN
19;Kanton Aargau;2018-09-23;415726.0;147027.0;1523.0;80.0;145424.0;36959.0;108465.0;146810.0;1837.0;5268.0
1901;Bezirk Aarau;2018-09-23;48918.0;18835.0;192.0;7.0;18636.0;5466.0;13170.0;18937.0;254.0;478.0
1902;Bezirk Baden;2018-09-23;84038.0;30973.0;357.0;13.0;30603.0;7386.0;23217.0;30707.0;332.0;1141.0
1903;Bezirk Bremgarten;2018-09-23;47439.0;17019.0;155.0;5.0;16859.0;3771.0;13088.0;16942.0;252.0;673.0
1904;Bezirk Brugg;2018-09-23;31805.0;12605.0;137.0;5.0;12463.0;3310.0;9153.0;12674.0;144.0;345.0
1905;Bezirk Kulm;2018-09-23;25548.0;8313.0;90.0;10.0;8213.0;2095.0;6118.0;8347.0;85.0;270.0
1906;Bezirk Laufenburg;2018-09-23;21195.0;7233.0;76.0;2.0;7155.0;1859.0;5296.0;7155.0;88.0;306.0
1907;Bezirk Lenzburg;2018-09-23;39471.0;13713.0;121.0;12.0;13580.0;3336.0;10244.0;13804.0;175.0;404.0
1908;Bezirk Muri;2018-09-23;23791.0;7883.0;81.0;0.0;7802.0;1738.0;6064.0;7994.0;89.0;248.0
1909;Bezirk Rheinfelden;2018-09-23;29242.0;9370.0;100.0;21.0;9249.0;2377.0;6872.0;9536.0;156.0;272.0
1910;Bezirk Zofingen;2018-09-23;44283.0;13796.0;169.0;2.0;13625.0;3978.0;9647.0;13633.0;162.0;663.0
1911;Bezirk Zurzach;2018-09-23;19996.0;7287.0;45.0;3.0;7239.0;1643.0;5596.0;7081.0;100.0;468.0
4001;Aarau;2018-09-23;14211.0;6123.0;71.0;4.0;6048.0;2061.0;3987.0;6090.0;87.0;223.0
4002;Biberstein;2018-09-23;1191.0;534.0;5.0;0.0;529.0;142.0;387.0;535.0;8.0;15.0
4003;Buchs (AG);2018-09-23;4252.0;1497.0;12.0;3.0;1482.0;442.0;1040.0;1509.0;16.0;26.0
4004;Densbüren;2018-09-23;559.0;199.0;2.0;0.0;197.0;53.0;144.0;192.0;1.0;9.0
4005;Erlinsbach (AG);2018-09-23;2856.0;1229.0;17.0;0.0;1212.0;272.0;940.0;1224.0;17.0;40.0
4006;Gränichen;2018-09-23;4996.0;1683.0;13.0;0.0;1670.0;455.0;1215.0;1732.0;25.0;31.0
4007;Hirschthal;2018-09-23;1135.0;390.0;6.0;0.0;384.0;79.0;305.0;388.0;4.0;11.0
4008;Küttigen;2018-09-23;4237.0;1823.0;22.0;0.0;1801.0;526.0;1275.0;1851.0;17.0;11.0
4009;Muhen;2018-09-23;2702.0;930.0;8.0;0.0;922.0;215.0;707.0;939.0;15.0;12.0
4010;Oberentfelden;2018-09-23;4794.0;1524.0;13.0;0.0;1511.0;378.0;1133.0;1509.0;20.0;57.0
4012;Suhr;2018-09-23;5545.0;1933.0;18.0;0.0;1915.0;639.0;1276.0;1987.0;29.0;16.0
4013;Unterentfelden;2018-09-23;2440.0;970.0;5.0;0.0;965.0;204.0;761.0;981.0;15.0;27.0
4021;Baden;2018-09-23;11742.0;4829.0;58.0;0.0;4771.0;1493.0;3278.0;4743.0;69.0;244.0
4022;Bellikon;2018-09-23;1161.0;473.0;3.0;0.0;470.0;84.0;386.0;457.0;1.0;23.0
4023;Bergdietikon;2018-09-23;1885.0;767.0;5.0;0.0;762.0;117.0;645.0;776.0;3.0;8.0
4024;Birmenstorf (AG);2018-09-23;1942.0;740.0;9.0;0.0;731.0;147.0;584.0;739.0;5.0;13.0
4026;Ennetbaden;2018-09-23;2202.0;1058.0;8.0;0.0;1050.0;287.0;763.0;1070.0;15.0;40.0
4027;Fislisbach;2018-09-23;3415.0;1146.0;14.0;0.0;1132.0;232.0;900.0;1170.0;20.0;15.0
4028;Freienwil;2018-09-23;713.0;295.0;4.0;0.0;291.0;88.0;203.0;273.0;1.0;28.0
4029;Gebenstorf;2018-09-23;3282.0;1192.0;14.0;0.0;1178.0;298.0;880.0;1189.0;11.0;30.0
4030;Killwangen;2018-09-23;1188.0;393.0;6.0;0.0;387.0;64.0;323.0;391.0;1.0;11.0
4031;Künten;2018-09-23;1192.0;387.0;0.0;0.0;387.0;80.0;307.0;394.0;7.0;8.0
4032;Mägenwil;2018-09-23;1303.0;418.0;5.0;0.0;413.0;77.0;336.0;420.0;6.0;11.0
4033;Mellingen;2018-09-23;3009.0;901.0;13.0;0.0;888.0;174.0;714.0;896.0;9.0;23.0
4034;Neuenhof;2018-09-23;3758.0;1031.0;8.0;0.0;1023.0;292.0;731.0;1039.0;18.0;20.0
4035;Niederrohrdorf;2018-09-23;2672.0;1010.0;8.0;0.0;1002.0;188.0;814.0;992.0;9.0;40.0
4037;Oberrohrdorf;2018-09-23;2816.0;1283.0;10.0;0.0;1273.0;220.0;1053.0;1267.0;12.0;52.0
4038;Obersiggenthal;2018-09-23;4814.0;2099.0;35.0;9.0;2055.0;491.0;1564.0;2038.0;10.0;116.0
4039;Remetschwil;2018-09-23;1417.0;536.0;7.0;0.0;529.0;85.0;444.0;530.0;4.0;16.0
4040;Spreitenbach;2018-09-23;4651.0;1040.0;16.0;0.0;1024.0;282.0;742.0;1053.0;2.0;21.0
4041;Stetten (AG);2018-09-23;1353.0;407.0;7.0;0.0;400.0;95.0;305.0;415.0;1.0;6.0
4042;Turgi;2018-09-23;1543.0;465.0;3.0;1.0;461.0;167.0;294.0;470.0;18.0;21.0
4044;Untersiggenthal;2018-09-23;4213.0;1581.0;26.0;0.0;1555.0;405.0;1150.0;1551.0;16.0;73.0
4045;Wettingen;2018-09-23;12538.0;4830.0;57.0;0.0;4773.0;1213.0;3560.0;4805.0;49.0;140.0
4046;Wohlenschwil;2018-09-23;1026.0;354.0;2.0;0.0;352.0;115.0;237.0;344.0;4.0;21.0
4047;Würenlingen;2018-09-23;2804.0;989.0;9.0;0.0;980.0;163.0;817.0;966.0;9.0;46.0
4048;Würenlos;2018-09-23;4219.0;1627.0;15.0;0.0;1612.0;285.0;1327.0;1613.0;23.0;63.0
4049;Ehrendingen;2018-09-23;3180.0;1122.0;15.0;3.0;1104.0;244.0;860.0;1106.0;9.0;52.0
4061;Arni (AG);2018-09-23;1283.0;524.0;7.0;0.0;517.0;93.0;424.0;518.0;1.0;16.0
4062;Berikon;2018-09-23;3153.0;1236.0;6.0;0.0;1230.0;283.0;947.0;1244.0;12.0;23.0
4063;Bremgarten (AG);2018-09-23;5100.0;1625.0;19.0;0.0;1606.0;472.0;1134.0;1628.0;25.0;60.0
4064;Büttikon;2018-09-23;657.0;220.0;2.0;0.0;218.0;62.0;156.0;226.0;1.0;5.0
4065;Dottikon;2018-09-23;2022.0;635.0;7.0;0.0;628.0;130.0;498.0;625.0;27.0;46.0
4066;Eggenwil;2018-09-23;684.0;280.0;5.0;0.0;275.0;65.0;210.0;282.0;3.0;8.0
4067;Fischbach-Göslikon;2018-09-23;1085.0;360.0;9.0;0.0;351.0;59.0;292.0;362.0;1.0;6.0
4068;Hägglingen;2018-09-23;1692.0;609.0;3.0;1.0;605.0;119.0;486.0;606.0;8.0;28.0
4071;Jonen;2018-09-23;1392.0;532.0;3.0;0.0;529.0;108.0;421.0;540.0;0.0;6.0
4072;Niederwil (AG);2018-09-23;1906.0;633.0;4.0;0.0;629.0;117.0;512.0;619.0;8.0;27.0
4073;Oberlunkhofen;2018-09-23;1443.0;610.0;5.0;0.0;605.0;129.0;476.0;621.0;7.0;5.0
4074;Oberwil-Lieli;2018-09-23;1718.0;793.0;6.0;0.0;787.0;115.0;672.0;781.0;7.0;30.0
4075;Rudolfstetten-Friedlisberg;2018-09-23;2625.0;897.0;10.0;4.0;883.0;181.0;702.0;898.0;12.0;29.0
4076;Sarmenstorf;2018-09-23;1953.0;665.0;0.0;0.0;665.0;118.0;547.0;662.0;15.0;40.0
4077;Tägerig;2018-09-23;958.0;344.0;1.0;0.0;343.0;98.0;245.0;335.0;3.0;12.0
4078;Uezwil;2018-09-23;357.0;103.0;0.0;0.0;103.0;25.0;78.0;107.0;0.0;3.0
4079;Unterlunkhofen;2018-09-23;1031.0;392.0;6.0;0.0;386.0;91.0;295.0;401.0;17.0;12.0
4080;Villmergen;2018-09-23;4100.0;1206.0;13.0;0.0;1193.0;274.0;919.0;1219.0;21.0;46.0
4081;Widen;2018-09-23;2542.0;1116.0;14.0;0.0;1102.0;202.0;900.0;1110.0;15.0;31.0
4082;Wohlen (AG);2018-09-23;8359.0;2936.0;24.0;0.0;2912.0;761.0;2151.0;2842.0;44.0;202.0
4083;Zufikon;2018-09-23;2942.0;1123.0;11.0;0.0;1112.0;223.0;889.0;1133.0;21.0;33.0
4084;Islisberg;2018-09-23;437.0;180.0;0.0;0.0;180.0;46.0;134.0;183.0;4.0;5.0
4091;Auenstein;2018-09-23;1152.0;451.0;3.0;0.0;448.0;93.0;355.0;471.0;11.0;6.0
4092;Birr;2018-09-23;1918.0;575.0;3.0;0.0;572.0;136.0;436.0;592.0;15.0;6.0
4093;Birrhard;2018-09-23;533.0;192.0;3.0;2.0;187.0;27.0;160.0;190.0;0.0;6.0
4094;Bözen;2018-09-23;536.0;204.0;0.0;0.0;204.0;45.0;159.0;208.0;4.0;11.0
4095;Brugg;2018-09-23;6753.0;2963.0;38.0;2.0;2923.0;888.0;2035.0;2932.0;22.0;115.0
4096;Effingen;2018-09-23;410.0;160.0;0.0;0.0;160.0;37.0;123.0;154.0;0.0;8.0
4097;Elfingen;2018-09-23;223.0;80.0;2.0;0.0;78.0;26.0;52.0;82.0;2.0;4.0
4099;Habsburg;2018-09-23;335.0;176.0;2.0;0.0;174.0;27.0;147.0;173.0;0.0;4.0
