BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
19;Kanton Aargau;2023-06-18;441619.0;180673.0;1576.0;68.0;179029.0;105834.0;73195.0;178941.0;2246.0;...;5306.0
1901;Bezirk Aarau;2023-06-18;50174.0;22139.0;247.0;22.0;21870.0;14249.0;7621.0;22378.0;321.0;...;336.0
1902;Bezirk Baden;2023-06-18;86158.0;36907.0;297.0;8.0;36602.0;24158.0;12444.0;36366.0;396.0;...;1199.0
1903;Bezirk Bremgarten;2023-06-18;49095.0;21032.0;170.0;15.0;20847.0;12008.0;8839.0;20791.0;293.0;...;733.0
1904;Bezirk Brugg;2023-06-18;31543.0;14064.0;149.0;3.0;13912.0;8492.0;5420.0;14022.0;170.0;...;322.0
1905;Bezirk Kulm;2023-06-18;26712.0;9983.0;69.0;8.0;9906.0;4678.0;5228.0;9781.0;112.0;...;349.0
1906;Bezirk Laufenburg;2023-06-18;23115.0;9779.0;78.0;2.0;9699.0;5339.0;4360.0;9600.0;100.0;...;345.0
1907;Bezirk Lenzburg;2023-06-18;41869.0;17313.0;136.0;3.0;17174.0;9575.0;7599.0;17243.0;233.0;...;435.0
1908;Bezirk Muri;2023-06-18;25100.0;9943.0;73.0;...;9870.0;5152.0;4718.0;9923.0;120.0;...;198.0
1909;Bezirk Rheinfelden;2023-06-18;29356.0;11606.0;127.0;...;11479.0;6938.0;4541.0;11478.0;157.0;...;318.0
1910;Bezirk Zofingen;2023-06-18;45540.0;16695.0;130.0;...;16565.0;8820.0;7745.0;16276.0;199.0;...;700.0
1911;Bezirk Zurzach;2023-06-18;20719.0;8655.0;71.0;7.0;8577.0;4765.0;3812.0;8455.0;87.0;...;370.0
4001;Aarau;2023-06-18;14303.0;7049.0;105.0;1.0;6943.0;5065.0;1878.0;7052.0;79.0;...;119.0
4002;Biberstein;2023-06-18;1197.0;610.0;6.0;...;604.0;388.0;216.0;612.0;7.0;...;7.0
4003;Buchs (AG);2023-06-18;4279.0;1742.0;21.0;...;1721.0;1100.0;621.0;1760.0;26.0;...;21.0
4004;Densbüren;2023-06-18;575.0;225.0;2.0;...;223.0;99.0;124.0;221.0;4.0;...;8.0
4005;Erlinsbach (AG);2023-06-18;3001.0;1395.0;8.0;9.0;1378.0;876.0;502.0;1409.0;16.0;...;23.0
4006;Gränichen;2023-06-18;5269.0;1987.0;13.0;...;1974.0;1065.0;909.0;2007.0;43.0;...;33.0
4007;Hirschthal;2023-06-18;1202.0;523.0;2.0;...;521.0;265.0;256.0;514.0;3.0;...;13.0
4008;Küttigen;2023-06-18;4569.0;2258.0;18.0;...;2240.0;1527.0;713.0;2335.0;32.0;...;27.0
4009;Muhen;2023-06-18;2775.0;1281.0;19.0;...;1262.0;702.0;560.0;1341.0;29.0;...;18.0
4010;Oberentfelden;2023-06-18;4740.0;1731.0;17.0;12.0;1702.0;992.0;710.0;1725.0;22.0;...;36.0
4012;Suhr;2023-06-18;5682.0;2221.0;29.0;...;2192.0;1471.0;721.0;2274.0;44.0;...;15.0
4013;Unterentfelden;2023-06-18;2582.0;1117.0;7.0;...;1110.0;699.0;411.0;1128.0;16.0;...;16.0
4021;Baden;2023-06-18;12263.0;6156.0;66.0;...;6090.0;4501.0;1589.0;5971.0;79.0;...;296.0
4022;Bellikon;2023-06-18;1157.0;576.0;3.0;...;573.0;341.0;232.0;574.0;9.0;...;13.0
4023;Bergdietikon;2023-06-18;1878.0;872.0;6.0;...;866.0;551.0;315.0;874.0;10.0;...;11.0
4024;Birmenstorf (AG);2023-06-18;1923.0;828.0;4.0;...;824.0;499.0;325.0;827.0;14.0;...;21.0
4026;Ennetbaden;2023-06-18;2259.0;1216.0;15.0;...;1201.0;964.0;237.0;1213.0;14.0;...;27.0
4027;Fislisbach;2023-06-18;3642.0;1496.0;11.0;...;1485.0;951.0;534.0;1495.0;29.0;...;42.0
4028;Freienwil;2023-06-18;751.0;394.0;2.0;1.0;391.0;258.0;133.0;373.0;1.0;...;24.0
4029;Gebenstorf;2023-06-18;3347.0;1349.0;5.0;...;1344.0;863.0;481.0;1338.0;14.0;...;33.0
4030;Killwangen;2023-06-18;1190.0;419.0;5.0;1.0;413.0;258.0;155.0;420.0;3.0;...;5.0
4031;Künten;2023-06-18;1267.0;556.0;4.0;...;552.0;325.0;227.0;554.0;4.0;...;9.0
4032;Mägenwil;2023-06-18;1291.0;486.0;6.0;...;480.0;264.0;216.0;480.0;5.0;...;12.0
4033;Mellingen;2023-06-18;3222.0;1133.0;11.0;...;1122.0;676.0;446.0;1106.0;10.0;...;43.0
4034;Neuenhof;2023-06-18;3609.0;1136.0;6.0;...;1130.0;685.0;445.0;1141.0;19.0;...;21.0
4035;Niederrohrdorf;2023-06-18;2994.0;1258.0;7.0;1.0;1250.0;811.0;439.0;1232.0;15.0;...;42.0
4037;Oberrohrdorf;2023-06-18;2813.0;1415.0;11.0;...;1404.0;895.0;509.0;1397.0;22.0;...;43.0
4038;Obersiggenthal;2023-06-18;4927.0;2158.0;13.0;2.0;2143.0;1492.0;651.0;2071.0;9.0;...;99.0
4039;Remetschwil;2023-06-18;1463.0;662.0;5.0;...;657.0;384.0;273.0;629.0;5.0;...;38.0
4040;Spreitenbach;2023-06-18;4709.0;1254.0;9.0;...;1245.0;713.0;532.0;1248.0;4.0;...;20.0
4041;Stetten (AG);2023-06-18;1489.0;566.0;4.0;...;562.0;337.0;225.0;569.0;14.0;...;15.0
4042;Turgi;2023-06-18;1557.0;586.0;5.0;...;581.0;400.0;181.0;584.0;11.0;...;16.0
4044;Untersiggenthal;2023-06-18;4252.0;1781.0;17.0;3.0;1761.0;1168.0;593.0;1801.0;17.0;...;68.0
4045;Wettingen;2023-06-18;12484.0;5595.0;47.0;...;5548.0;3809.0;1739.0;5556.0;34.0;...;111.0
