BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
19;Kanton Aargau;2020-09-27;433195.0;245290.0;4099.0;122.0;241069.0;76470.0;164599.0;244976.0;3675.0;...;7442.0
1901;Bezirk Aarau;2020-09-27;49882.0;29943.0;503.0;10.0;29430.0;8808.0;20622.0;30372.0;585.0;...;560.0
1902;Bezirk Baden;2020-09-27;84974.0;50003.0;791.0;34.0;49178.0;17509.0;31669.0;49697.0;660.0;...;1632.0
1903;Bezirk Bremgarten;2020-09-27;48223.0;28072.0;441.0;16.0;27615.0;8986.0;18629.0;27966.0;410.0;...;979.0
1904;Bezirk Brugg;2020-09-27;32374.0;19241.0;364.0;7.0;18870.0;6077.0;12793.0;19322.0;300.0;...;439.0
1905;Bezirk Kulm;2020-09-27;25971.0;14140.0;234.0;19.0;13887.0;3538.0;10349.0;14192.0;218.0;...;358.0
1906;Bezirk Laufenburg;2020-09-27;21530.0;12137.0;204.0;2.0;11931.0;3562.0;8369.0;12142.0;168.0;...;369.0
1907;Bezirk Lenzburg;2020-09-27;40732.0;23434.0;376.0;13.0;23045.0;7069.0;15976.0;23451.0;374.0;...;664.0
1908;Bezirk Muri;2020-09-27;24390.0;14017.0;243.0;5.0;13769.0;4254.0;9515.0;14021.0;185.0;...;433.0
1909;Bezirk Rheinfelden;2020-09-27;29334.0;15675.0;260.0;1.0;15414.0;5015.0;10399.0;15662.0;229.0;...;465.0
1910;Bezirk Zofingen;2020-09-27;44801.0;23876.0;416.0;7.0;23453.0;6451.0;17002.0;23672.0;375.0;...;918.0
1911;Bezirk Zurzach;2020-09-27;20139.0;11970.0;193.0;8.0;11769.0;3723.0;8046.0;11653.0;156.0;...;624.0
4001;Aarau;2020-09-27;14471.0;9192.0;181.0;3.0;9008.0;2824.0;6184.0;9236.0;175.0;...;215.0
4002;Biberstein;2020-09-27;1183.0;794.0;7.0;...;787.0;205.0;582.0;801.0;18.0;...;17.0
4003;Buchs (AG);2020-09-27;4206.0;2262.0;25.0;...;2237.0;713.0;1524.0;2289.0;33.0;...;31.0
4004;Densbüren;2020-09-27;557.0;327.0;5.0;...;322.0;76.0;246.0;330.0;7.0;...;11.0
