BFSNR;NAME;DATUM;STIMMBERECHTIGTE;AUSL_SCHWEIZER;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
19;Kanton Aargau;2018-11-25;426271.0;...;197481.0;1459.0;83.0;195939.0;74521.0;121418.0;192470.0;2497.0;1937.0;7123.0
1901;Bezirk Aarau;2018-11-25;49099.0;...;24391.0;188.0;7.0;24196.0;8101.0;16095.0;24350.0;338.0;...;522.0
1902;Bezirk Baden;2018-11-25;84189.0;...;40292.0;226.0;16.0;40050.0;13181.0;26869.0;39624.0;470.0;...;1430.0
1903;Bezirk Bremgarten;2018-11-25;47426.0;...;22521.0;168.0;7.0;22346.0;9078.0;13268.0;22129.0;316.0;...;865.0
1904;Bezirk Brugg;2018-11-25;31956.0;...;15780.0;97.0;16.0;15667.0;5760.0;9907.0;15645.0;218.0;...;501.0
1905;Bezirk Kulm;2018-11-25;25593.0;...;11161.0;98.0;8.0;11055.0;5282.0;5773.0;10895.0;102.0;...;481.0
1906;Bezirk Laufenburg;2018-11-25;21197.0;...;9908.0;73.0;6.0;9829.0;4108.0;5721.0;9691.0;104.0;...;407.0
1907;Bezirk Lenzburg;2018-11-25;39561.0;...;18448.0;157.0;11.0;18280.0;7259.0;11021.0;18383.0;250.0;...;528.0
1908;Bezirk Muri;2018-11-25;23838.0;...;10714.0;83.0;1.0;10630.0;4313.0;6317.0;10532.0;118.0;...;374.0
1909;Bezirk Rheinfelden;2018-11-25;29296.0;...;12865.0;119.0;4.0;12742.0;4841.0;7901.0;12853.0;217.0;...;382.0
1910;Bezirk Zofingen;2018-11-25;44306.0;...;18910.0;182.0;2.0;18726.0;7794.0;10932.0;18175.0;239.0;...;1084.0
1911;Bezirk Zurzach;2018-11-25;20033.0;...;9625.0;52.0;4.0;9569.0;3967.0;5602.0;9245.0;107.0;...;547.0
4001;Aarau;2018-11-25;14298.0;...;7857.0;59.0;3.0;7795.0;1952.0;5843.0;7770.0;93.0;...;220.0
4002;Biberstein;2018-11-25;1191.0;...;666.0;3.0;1.0;662.0;204.0;458.0;655.0;5.0;...;17.0
4003;Buchs (AG);2018-11-25;4254.0;...;2026.0;13.0;...;2013.0;761.0;1252.0;2049.0;30.0;...;30.0
4004;Densbüren;2018-11-25;559.0;...;284.0;2.0;...;282.0;122.0;160.0;271.0;2.0;...;16.0
4005;Erlinsbach (AG);2018-11-25;2858.0;...;1518.0;14.0;1.0;1503.0;581.0;922.0;1476.0;21.0;...;75.0
4006;Gränichen;2018-11-25;4998.0;...;2240.0;17.0;2.0;2221.0;953.0;1268.0;2298.0;66.0;...;17.0
4007;Hirschthal;2018-11-25;1141.0;...;525.0;6.0;...;519.0;251.0;268.0;516.0;4.0;...;17.0
4008;Küttigen;2018-11-25;4252.0;...;2323.0;14.0;...;2309.0;702.0;1607.0;2325.0;13.0;...;20.0
4009;Muhen;2018-11-25;2709.0;...;1259.0;13.0;...;1246.0;549.0;697.0;1257.0;10.0;...;15.0
4010;Oberentfelden;2018-11-25;4815.0;...;2020.0;21.0;...;1999.0;804.0;1195.0;2003.0;26.0;...;55.0
4012;Suhr;2018-11-25;5573.0;...;2454.0;19.0;...;2435.0;809.0;1626.0;2510.0;48.0;...;9.0
4013;Unterentfelden;2018-11-25;2451.0;...;1219.0;7.0;...;1212.0;413.0;799.0;1220.0;20.0;...;31.0
4021;Baden;2018-11-25;11774.0;...;6556.0;38.0;6.0;6512.0;1427.0;5085.0;6382.0;95.0;...;308.0
4022;Bellikon;2018-11-25;1167.0;...;632.0;6.0;...;626.0;255.0;371.0;618.0;9.0;...;25.0
4023;Bergdietikon;2018-11-25;1870.0;...;1006.0;6.0;...;1000.0;459.0;541.0;1009.0;9.0;...;7.0
4024;Birmenstorf (AG);2018-11-25;1940.0;...;923.0;7.0;...;916.0;340.0;576.0;924.0;14.0;...;21.0
4026;Ennetbaden;2018-11-25;2195.0;...;1354.0;7.0;...;1347.0;236.0;1111.0;1321.0;12.0;...;47.0
4027;Fislisbach;2018-11-25;3416.0;...;1469.0;7.0;1.0;1461.0;509.0;952.0;1440.0;17.0;...;48.0
4028;Freienwil;2018-11-25;720.0;...;416.0;3.0;...;413.0;116.0;297.0;375.0;2.0;...;46.0
4029;Gebenstorf;2018-11-25;3274.0;...;1497.0;8.0;...;1489.0;498.0;991.0;1495.0;19.0;...;31.0
4030;Killwangen;2018-11-25;1189.0;...;508.0;2.0;...;506.0;204.0;302.0;498.0;1.0;...;11.0
4031;Künten;2018-11-25;1186.0;...;540.0;2.0;2.0;536.0;218.0;318.0;527.0;4.0;...;17.0
4032;Mägenwil;2018-11-25;1297.0;...;534.0;2.0;...;532.0;233.0;299.0;533.0;16.0;...;23.0
4033;Mellingen;2018-11-25;3032.0;...;1226.0;3.0;...;1223.0;475.0;748.0;1237.0;11.0;...;41.0
4034;Neuenhof;2018-11-25;3748.0;...;1363.0;5.0;...;1358.0;546.0;812.0;1346.0;20.0;...;45.0
4035;Niederrohrdorf;2018-11-25;2690.0;...;1325.0;9.0;...;1316.0;421.0;895.0;1282.0;13.0;...;59.0
4037;Oberrohrdorf;2018-11-25;2818.0;...;1586.0;7.0;...;1579.0;563.0;1016.0;1568.0;15.0;...;40.0
4038;Obersiggenthal;2018-11-25;4825.0;...;2419.0;8.0;1.0;2410.0;723.0;1687.0;2323.0;15.0;...;111.0
4039;Remetschwil;2018-11-25;1416.0;...;727.0;7.0;...;720.0;290.0;430.0;710.0;13.0;...;35.0
4040;Spreitenbach;2018-11-25;4657.0;...;1440.0;5.0;...;1435.0;591.0;844.0;1418.0;2.0;...;30.0
4041;Stetten (AG);2018-11-25;1359.0;...;512.0;3.0;...;509.0;177.0;332.0;534.0;15.0;...;10.0
4042;Turgi;2018-11-25;1522.0;...;644.0;3.0;...;641.0;185.0;456.0;649.0;18.0;...;17.0
4044;Untersiggenthal;2018-11-25;4249.0;...;2086.0;14.0;2.0;2070.0;734.0;1336.0;2039.0;19.0;...;74.0
4045;Wettingen;2018-11-25;12589.0;...;6118.0;40.0;2.0;6076.0;1883.0;4193.0;6080.0;71.0;...;160.0
4046;Wohlenschwil;2018-11-25;1025.0;...;496.0;4.0;...;492.0;176.0;316.0;473.0;1.0;...;24.0
4047;Würenlingen;2018-11-25;2816.0;...;1282.0;5.0;...;1277.0;535.0;742.0;1230.0;10.0;...;69.0
4048;Würenlos;2018-11-25;4212.0;...;2112.0;14.0;2.0;2096.0;805.0;1291.0;2125.0;27.0;...;72.0
4049;Ehrendingen;2018-11-25;3203.0;...;1521.0;11.0;...;1510.0;582.0;928.0;1488.0;22.0;...;59.0
4061;Arni (AG);2018-11-25;1272.0;...;676.0;7.0;...;669.0;238.0;431.0;647.0;4.0;...;36.0
