BFSNR;NAME;DATUM;STIMMBERECHTIGTE;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN
4105;Mandach;2023-06-18;239.0;107.0;0.0;0.0;7.0;105.0;2.0;0.0;103.0;37.0;66.0
4106;Mönthal;2023-06-18;297.0;125.0;0.0;0.0;4.0;125.0;3.0;0.0;122.0;56.0;66.0
4107;Mülligen;2023-06-18;697.0;291.0;2.0;0.0;11.0;286.0;12.0;0.0;274.0;122.0;152.0
4110;Remigen;2023-06-18;878.0;407.0;4.0;0.0;8.0;404.0;15.0;0.0;389.0;167.0;222.0
4111;Riniken;2023-06-18;974.0;423.0;10.0;0.0;7.0;411.0;19.0;2.0;390.0;187.0;203.0
4112;Rüfenach;2023-06-18;615.0;301.0;6.0;0.0;0.0;292.0;11.0;0.0;281.0;170.0;111.0
4117;Thalheim (AG);2023-06-18;679.0;317.0;2.0;0.0;3.0;310.0;4.0;0.0;306.0;131.0;175.0
4120;Veltheim (AG);2023-06-18;1009.0;397.0;3.0;0.0;9.0;392.0;7.0;4.0;381.0;157.0;224.0
4121;Villigen;2023-06-18;1311.0;561.0;5.0;0.0;7.0;555.0;14.0;0.0;541.0;236.0;305.0
4122;Villnachern;2023-06-18;1121.0;510.0;9.0;0.0;6.0;502.0;19.0;0.0;483.0;227.0;256.0
4123;Windisch;2023-06-18;4608.0;2053.0;22.0;0.0;36.0;2013.0;80.0;0.0;1933.0;1209.0;724.0
4124;Bözberg;2023-06-18;1208.0;588.0;6.0;0.0;12.0;575.0;13.0;0.0;562.0;243.0;319.0
4125;Schinznach;2023-06-18;1668.0;938.0;14.0;0.0;14.0;905.0;47.0;0.0;858.0;408.0;450.0
4131;Beinwil am See;2023-06-18;2404.0;997.0;10.0;0.0;32.0;981.0;27.0;0.0;954.0;453.0;501.0
4132;Birrwil;2023-06-18;959.0;435.0;6.0;0.0;18.0;432.0;15.0;0.0;417.0;187.0;230.0
4134;Dürrenäsch;2023-06-18;920.0;356.0;4.0;0.0;3.0;343.0;19.0;0.0;324.0;106.0;218.0
4135;Gontenschwil;2023-06-18;1461.0;556.0;7.0;0.0;27.0;568.0;31.0;0.0;537.0;170.0;367.0
4136;Holziken;2023-06-18;1097.0;357.0;1.0;0.0;14.0;353.0;14.0;0.0;339.0;119.0;220.0
4137;Leimbach (AG);2023-06-18;359.0;138.0;0.0;0.0;3.0;140.0;1.0;0.0;139.0;61.0;78.0
4138;Leutwil;2023-06-18;569.0;273.0;4.0;0.0;8.0;262.0;10.0;0.0;252.0;83.0;169.0
4139;Menziken;2023-06-18;4060.0;1383.0;15.0;0.0;33.0;1333.0;50.0;0.0;1283.0;614.0;669.0
4140;Oberkulm;2023-06-18;1755.0;655.0;10.0;0.0;32.0;663.0;16.0;0.0;647.0;255.0;392.0
4141;Reinach (AG);2023-06-18;4508.0;1441.0;17.0;0.0;51.0;1432.0;23.0;16.0;1393.0;607.0;786.0
4142;Schlossrued;2023-06-18;633.0;221.0;0.0;0.0;23.0;234.0;7.0;0.0;227.0;79.0;148.0
4143;Schmiedrued;2023-06-18;859.0;292.0;2.0;0.0;27.0;304.0;17.0;2.0;285.0;86.0;199.0
4144;Schöftland;2023-06-18;3100.0;1173.0;16.0;0.0;14.0;1147.0;42.0;0.0;1105.0;465.0;640.0
4145;Teufenthal (AG);2023-06-18;1072.0;403.0;0.0;0.0;32.0;425.0;12.0;0.0;413.0;149.0;264.0
4146;Unterkulm;2023-06-18;1996.0;716.0;17.0;0.0;29.0;702.0;14.0;7.0;681.0;283.0;398.0
4147;Zetzwil;2023-06-18;960.0;385.0;3.0;0.0;3.0;376.0;11.0;0.0;365.0;123.0;242.0
4161;Eiken;2023-06-18;1483.0;504.0;2.0;0.0;30.0;516.0;9.0;0.0;507.0;239.0;268.0
4163;Frick;2023-06-18;3442.0;1265.0;8.0;0.0;44.0;1286.0;55.0;2.0;1229.0;636.0;593.0
4164;Gansingen;2023-06-18;779.0;462.0;5.0;0.0;29.0;466.0;16.0;0.0;450.0;199.0;251.0
4165;Gipf-Oberfrick;2023-06-18;2643.0;1179.0;11.0;0.0;57.0;1207.0;48.0;0.0;1159.0;576.0;583.0
4169;Kaisten;2023-06-18;1896.0;762.0;4.0;0.0;12.0;743.0;26.0;0.0;717.0;381.0;336.0
4170;Laufenburg;2023-06-18;2023.0;980.0;5.0;0.0;23.0;975.0;38.0;0.0;937.0;475.0;462.0
4172;Münchwilen (AG);2023-06-18;610.0;243.0;2.0;0.0;21.0;255.0;7.0;0.0;248.0;111.0;137.0
4173;Oberhof;2023-06-18;407.0;178.0;3.0;0.0;12.0;182.0;9.0;0.0;173.0;71.0;102.0
4175;Oeschgen;2023-06-18;779.0;294.0;2.0;0.0;8.0;293.0;11.0;0.0;282.0;116.0;166.0
4176;Schwaderloch;2023-06-18;416.0;156.0;1.0;0.0;0.0;145.0;7.0;0.0;138.0;51.0;87.0
4177;Sisseln;2023-06-18;962.0;331.0;6.0;0.0;18.0;339.0;4.0;0.0;335.0;160.0;175.0
4181;Wittnau;2023-06-18;1028.0;442.0;5.0;0.0;10.0;436.0;13.0;0.0;423.0;181.0;242.0
4182;Wölflinswil;2023-06-18;775.0;355.0;7.0;0.0;13.0;353.0;9.0;0.0;344.0;139.0;205.0
