BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
19;Kanton Aargau;2023-06-18;441619.0;180669.0;1143.0;49.0;179477.0;93550.0;85927.0;178941.0;2246.0;...;5306.0
1901;Bezirk Aarau;2023-06-18;50174.0;22160.0;134.0;16.0;22010.0;13102.0;8908.0;22378.0;321.0;...;336.0
1902;Bezirk Baden;2023-06-18;86158.0;36912.0;225.0;6.0;36681.0;21598.0;15083.0;36366.0;396.0;...;1199.0
1903;Bezirk Bremgarten;2023-06-18;49095.0;21045.0;122.0;10.0;20913.0;10214.0;10699.0;20791.0;293.0;...;733.0
1904;Bezirk Brugg;2023-06-18;31543.0;14080.0;101.0;3.0;13976.0;7314.0;6662.0;14022.0;170.0;...;322.0
1905;Bezirk Kulm;2023-06-18;26712.0;9984.0;56.0;3.0;9925.0;3811.0;6114.0;9781.0;112.0;...;349.0
1906;Bezirk Laufenburg;2023-06-18;23115.0;9790.0;86.0;5.0;9699.0;4743.0;4956.0;9600.0;100.0;...;345.0
1907;Bezirk Lenzburg;2023-06-18;41869.0;17248.0;99.0;3.0;17146.0;8384.0;8762.0;17243.0;233.0;...;435.0
1908;Bezirk Muri;2023-06-18;25100.0;9933.0;49.0;1.0;9883.0;4649.0;5234.0;9923.0;120.0;...;198.0
1909;Bezirk Rheinfelden;2023-06-18;29356.0;11588.0;92.0;...;11496.0;6270.0;5226.0;11478.0;157.0;...;318.0
1910;Bezirk Zofingen;2023-06-18;45540.0;16704.0;106.0;1.0;16597.0;7696.0;8901.0;16276.0;199.0;...;700.0
1911;Bezirk Zurzach;2023-06-18;20719.0;8670.0;56.0;1.0;8613.0;3922.0;4691.0;8455.0;87.0;...;370.0
4001;Aarau;2023-06-18;14303.0;7056.0;41.0;1.0;7014.0;4991.0;2023.0;7052.0;79.0;...;119.0
4002;Biberstein;2023-06-18;1197.0;611.0;2.0;...;609.0;348.0;261.0;612.0;7.0;...;7.0
4003;Buchs (AG);2023-06-18;4279.0;1748.0;12.0;...;1736.0;984.0;752.0;1760.0;26.0;...;21.0
4004;Densbüren;2023-06-18;575.0;222.0;...;...;222.0;98.0;124.0;221.0;4.0;...;8.0
4005;Erlinsbach (AG);2023-06-18;3001.0;1406.0;3.0;3.0;1400.0;778.0;622.0;1409.0;16.0;...;23.0
4006;Gränichen;2023-06-18;5269.0;1988.0;13.0;...;1975.0;914.0;1061.0;2007.0;43.0;...;33.0
4007;Hirschthal;2023-06-18;1202.0;522.0;...;...;522.0;220.0;302.0;514.0;3.0;...;13.0
4008;Küttigen;2023-06-18;4569.0;2260.0;18.0;...;2242.0;1406.0;836.0;2335.0;32.0;...;27.0
4009;Muhen;2023-06-18;2775.0;1278.0;22.0;...;1256.0;562.0;694.0;1341.0;29.0;...;18.0
4010;Oberentfelden;2023-06-18;4740.0;1720.0;7.0;12.0;1701.0;786.0;915.0;1725.0;22.0;...;36.0
4012;Suhr;2023-06-18;5682.0;2229.0;12.0;...;2217.0;1372.0;845.0;2274.0;44.0;...;15.0
4013;Unterentfelden;2023-06-18;2582.0;1120.0;4.0;...;1116.0;643.0;473.0;1128.0;16.0;...;16.0
4021;Baden;2023-06-18;12263.0;6167.0;39.0;...;6128.0;4467.0;1661.0;5971.0;79.0;...;296.0
4022;Bellikon;2023-06-18;1157.0;577.0;4.0;...;573.0;268.0;305.0;574.0;9.0;...;13.0
4023;Bergdietikon;2023-06-18;1878.0;874.0;4.0;...;870.0;443.0;427.0;874.0;10.0;...;11.0
4024;Birmenstorf (AG);2023-06-18;1923.0;829.0;3.0;...;826.0;405.0;421.0;827.0;14.0;...;21.0
4026;Ennetbaden;2023-06-18;2259.0;1220.0;10.0;...;1210.0;919.0;291.0;1213.0;14.0;...;27.0
4027;Fislisbach;2023-06-18;3642.0;1504.0;13.0;...;1491.0;812.0;679.0;1495.0;29.0;...;42.0
