BFSNR;NAME;DATUM;STIMMBERECHTIGTE;AUSL_SCHWEIZER;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
19;Kanton Aargau;2018-09-23;425446.0;...;151581.0;838.0;38.0;150705.0;105788.0;44917.0;147671.0;1854.0;1448.0;5268.0
1901;Bezirk Aarau;2018-09-23;48918.0;...;19055.0;113.0;2.0;18940.0;14041.0;4899.0;18937.0;254.0;...;478.0
1902;Bezirk Baden;2018-09-23;84038.0;...;31386.0;174.0;8.0;31204.0;22687.0;8517.0;30707.0;332.0;...;1141.0
1903;Bezirk Bremgarten;2018-09-23;47439.0;...;17251.0;89.0;3.0;17159.0;11283.0;5876.0;16942.0;252.0;...;673.0
1904;Bezirk Brugg;2018-09-23;31805.0;...;12783.0;58.0;1.0;12724.0;8930.0;3794.0;12674.0;144.0;...;345.0
1905;Bezirk Kulm;2018-09-23;25548.0;...;8445.0;57.0;5.0;8383.0;5431.0;2952.0;8347.0;85.0;...;270.0
1906;Bezirk Laufenburg;2018-09-23;21195.0;...;7339.0;54.0;2.0;7283.0;4883.0;2400.0;7155.0;88.0;...;306.0
1907;Bezirk Lenzburg;2018-09-23;39471.0;...;13941.0;64.0;3.0;13874.0;9844.0;4030.0;13804.0;175.0;...;404.0
1908;Bezirk Muri;2018-09-23;23791.0;...;8120.0;51.0;...;8069.0;5447.0;2622.0;7994.0;89.0;...;248.0
1909;Bezirk Rheinfelden;2018-09-23;29242.0;...;9560.0;49.0;10.0;9501.0;6683.0;2818.0;9536.0;156.0;...;272.0
1910;Bezirk Zofingen;2018-09-23;44283.0;...;14026.0;86.0;1.0;13939.0;9725.0;4214.0;13633.0;162.0;...;663.0
1911;Bezirk Zurzach;2018-09-23;19996.0;...;7383.0;34.0;3.0;7346.0;4812.0;2534.0;7081.0;100.0;...;468.0
4001;Aarau;2018-09-23;14211.0;...;6196.0;44.0;...;6152.0;4736.0;1416.0;6090.0;87.0;...;223.0
4002;Biberstein;2018-09-23;1191.0;...;538.0;6.0;...;532.0;394.0;138.0;535.0;8.0;...;15.0
4003;Buchs (AG);2018-09-23;4252.0;...;1513.0;6.0;...;1507.0;1141.0;366.0;1509.0;16.0;...;26.0
4004;Densbüren;2018-09-23;559.0;...;199.0;1.0;...;198.0;118.0;80.0;192.0;1.0;...;9.0
4005;Erlinsbach (AG);2018-09-23;2856.0;...;1243.0;8.0;...;1235.0;885.0;350.0;1224.0;17.0;...;40.0
4006;Gränichen;2018-09-23;4996.0;...;1711.0;14.0;1.0;1696.0;1203.0;493.0;1732.0;25.0;...;31.0
4007;Hirschthal;2018-09-23;1135.0;...;394.0;3.0;...;391.0;252.0;139.0;388.0;4.0;...;11.0
4008;Küttigen;2018-09-23;4237.0;...;1832.0;11.0;...;1821.0;1401.0;420.0;1851.0;17.0;...;11.0
4009;Muhen;2018-09-23;2702.0;...;936.0;1.0;...;935.0;636.0;299.0;939.0;15.0;...;12.0
4010;Oberentfelden;2018-09-23;4794.0;...;1540.0;9.0;...;1531.0;1034.0;497.0;1509.0;20.0;...;57.0
4012;Suhr;2018-09-23;5545.0;...;1965.0;7.0;1.0;1957.0;1513.0;444.0;1987.0;29.0;...;16.0
4013;Unterentfelden;2018-09-23;2440.0;...;988.0;3.0;...;985.0;728.0;257.0;981.0;15.0;...;27.0
4021;Baden;2018-09-23;11742.0;...;4902.0;21.0;1.0;4880.0;3837.0;1043.0;4743.0;69.0;...;244.0
4022;Bellikon;2018-09-23;1161.0;...;477.0;4.0;...;473.0;314.0;159.0;457.0;1.0;...;23.0
4023;Bergdietikon;2018-09-23;1885.0;...;774.0;3.0;...;771.0;433.0;338.0;776.0;3.0;...;8.0
4024;Birmenstorf (AG);2018-09-23;1942.0;...;747.0;5.0;...;742.0;504.0;238.0;739.0;5.0;...;13.0
4026;Ennetbaden;2018-09-23;2202.0;...;1091.0;6.0;...;1085.0;883.0;202.0;1070.0;15.0;...;40.0
4027;Fislisbach;2018-09-23;3415.0;...;1160.0;7.0;...;1153.0;837.0;316.0;1170.0;20.0;...;15.0
4028;Freienwil;2018-09-23;713.0;...;299.0;...;...;299.0;217.0;82.0;273.0;1.0;...;28.0
4029;Gebenstorf;2018-09-23;3282.0;...;1202.0;4.0;...;1198.0;887.0;311.0;1189.0;11.0;...;30.0
4030;Killwangen;2018-09-23;1188.0;...;400.0;5.0;...;395.0;271.0;124.0;391.0;1.0;...;11.0
4031;Künten;2018-09-23;1192.0;...;395.0;...;...;395.0;251.0;144.0;394.0;7.0;...;8.0
4032;Mägenwil;2018-09-23;1303.0;...;422.0;1.0;...;421.0;295.0;126.0;420.0;6.0;...;11.0
4033;Mellingen;2018-09-23;3009.0;...;905.0;3.0;...;902.0;609.0;293.0;896.0;9.0;...;23.0
4034;Neuenhof;2018-09-23;3758.0;...;1041.0;1.0;...;1040.0;773.0;267.0;1039.0;18.0;...;20.0
