BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;EINGELBRIEF;UNGUELTIGBRIEF;EINGELURNEN
19;Kanton Aargau;2020-09-27;422350.0;227167.0;11952.0;446.0;214769.0;121284.0;93485.0;242150.0;3660.0;7441.0
1901;Bezirk Aarau;2020-09-27;49882.0;28311.0;1746.0;29.0;26536.0;16652.0;9884.0;30372.0;585.0;560.0
1902;Bezirk Baden;2020-09-27;84974.0;47313.0;2469.0;65.0;44779.0;27314.0;17465.0;49697.0;660.0;1632.0
1903;Bezirk Bremgarten;2020-09-27;48223.0;25763.0;1281.0;23.0;24459.0;13241.0;11218.0;27966.0;410.0;979.0
1904;Bezirk Brugg;2020-09-27;32374.0;18089.0;989.0;9.0;17091.0;9892.0;7199.0;19322.0;300.0;439.0
1905;Bezirk Kulm;2020-09-27;25971.0;13195.0;672.0;53.0;12470.0;5964.0;6506.0;14192.0;218.0;358.0
1906;Bezirk Laufenburg;2020-09-27;21530.0;11466.0;550.0;2.0;10914.0;5261.0;5653.0;12142.0;168.0;369.0
1907;Bezirk Lenzburg;2020-09-27;40732.0;21963.0;881.0;229.0;20853.0;10934.0;9919.0;23451.0;374.0;664.0
1908;Bezirk Muri;2020-09-27;24390.0;12802.0;574.0;5.0;12223.0;6306.0;5917.0;14021.0;185.0;433.0
1909;Bezirk Rheinfelden;2020-09-27;29334.0;14543.0;886.0;2.0;13655.0;7872.0;5783.0;15662.0;229.0;465.0
1910;Bezirk Zofingen;2020-09-27;44801.0;22237.0;1341.0;9.0;20887.0;12377.0;8510.0;23672.0;375.0;918.0
1911;Bezirk Zurzach;2020-09-27;20139.0;11485.0;563.0;20.0;10902.0;5471.0;5431.0;11653.0;156.0;624.0
4001;Aarau;2020-09-27;14471.0;8739.0;663.0;7.0;8069.0;5543.0;2526.0;9236.0;175.0;215.0
4002;Biberstein;2020-09-27;1183.0;760.0;41.0;0.0;719.0;418.0;301.0;801.0;18.0;17.0
4003;Buchs (AG);2020-09-27;4206.0;2110.0;119.0;0.0;1991.0;1169.0;822.0;2289.0;33.0;31.0
4004;Densbüren;2020-09-27;557.0;321.0;11.0;0.0;310.0;148.0;162.0;330.0;7.0;11.0
4005;Erlinsbach (AG);2020-09-27;2977.0;1738.0;56.0;16.0;1666.0;1033.0;633.0;1847.0;13.0;50.0
4006;Gränichen;2020-09-27;5199.0;2716.0;172.0;0.0;2544.0;1402.0;1142.0;2938.0;80.0;45.0
4007;Hirschthal;2020-09-27;1177.0;644.0;27.0;0.0;617.0;358.0;259.0;701.0;11.0;16.0
4008;Küttigen;2020-09-27;4360.0;2690.0;144.0;3.0;2543.0;1606.0;937.0;2835.0;16.0;37.0
4009;Muhen;2020-09-27;2762.0;1466.0;82.0;3.0;1381.0;775.0;606.0;1601.0;28.0;21.0
4010;Oberentfelden;2020-09-27;4803.0;2285.0;141.0;0.0;2144.0;1322.0;822.0;2470.0;32.0;48.0
4012;Suhr;2020-09-27;5604.0;3309.0;213.0;0.0;3096.0;1949.0;1147.0;3695.0;135.0;29.0
4013;Unterentfelden;2020-09-27;2583.0;1533.0;77.0;0.0;1456.0;929.0;527.0;1629.0;37.0;40.0
4021;Baden;2020-09-27;12086.0;7373.0;405.0;3.0;6965.0;4728.0;2237.0;7617.0;125.0;378.0
4022;Bellikon;2020-09-27;1168.0;727.0;42.0;1.0;684.0;384.0;300.0;795.0;14.0;25.0
4023;Bergdietikon;2020-09-27;1861.0;1031.0;61.0;2.0;968.0;685.0;283.0;1146.0;14.0;13.0
4024;Birmenstorf (AG);2020-09-27;1917.0;1099.0;51.0;0.0;1048.0;519.0;529.0;1161.0;12.0;17.0
4026;Ennetbaden;2020-09-27;2207.0;1542.0;105.0;0.0;1437.0;970.0;467.0;1607.0;17.0;35.0
4027;Fislisbach;2020-09-27;3393.0;1737.0;69.0;2.0;1666.0;973.0;693.0;1904.0;62.0;55.0
4028;Freienwil;2020-09-27;727.0;490.0;29.0;0.0;461.0;250.0;211.0;479.0;0.0;47.0
4029;Gebenstorf;2020-09-27;3309.0;1777.0;96.0;0.0;1681.0;1058.0;623.0;1871.0;16.0;46.0
4030;Killwangen;2020-09-27;1171.0;633.0;31.0;0.0;602.0;310.0;292.0;665.0;8.0;16.0
4031;Künten;2020-09-27;1247.0;672.0;18.0;0.0;654.0;365.0;289.0;705.0;8.0;24.0
4032;Mägenwil;2020-09-27;1274.0;667.0;22.0;0.0;645.0;419.0;226.0;688.0;8.0;23.0
4033;Mellingen;2020-09-27;3138.0;1534.0;72.0;0.0;1462.0;797.0;665.0;1652.0;11.0;39.0
4034;Neuenhof;2020-09-27;3760.0;1638.0;97.0;1.0;1540.0;890.0;650.0;1730.0;37.0;51.0
4035;Niederrohrdorf;2020-09-27;2740.0;1598.0;79.0;2.0;1517.0;894.0;623.0;1677.0;21.0;49.0
4037;Oberrohrdorf;2020-09-27;2796.0;1827.0;78.0;0.0;1749.0;975.0;774.0;1912.0;22.0;43.0
4038;Obersiggenthal;2020-09-27;4916.0;2829.0;160.0;15.0;2654.0;1622.0;1032.0;2873.0;11.0;110.0
4039;Remetschwil;2020-09-27;1418.0;816.0;36.0;0.0;780.0;438.0;342.0;873.0;18.0;35.0
4040;Spreitenbach;2020-09-27;4705.0;1730.0;90.0;1.0;1639.0;959.0;680.0;1882.0;13.0;40.0
4041;Stetten (AG);2020-09-27;1389.0;678.0;43.0;0.0;635.0;351.0;284.0;769.0;30.0;16.0
4042;Turgi;2020-09-27;1501.0;698.0;41.0;0.0;657.0;403.0;254.0;738.0;15.0;22.0
4044;Untersiggenthal;2020-09-27;4213.0;2448.0;95.0;32.0;2321.0;1387.0;934.0;2541.0;33.0;79.0
4045;Wettingen;2020-09-27;12663.0;7288.0;409.0;2.0;6877.0;4328.0;2549.0;7683.0;96.0;191.0
4046;Wohlenschwil;2020-09-27;1054.0;587.0;36.0;0.0;551.0;299.0;252.0;598.0;4.0;28.0
4047;Würenlingen;2020-09-27;2902.0;1586.0;79.0;1.0;1506.0;810.0;696.0;1611.0;13.0;70.0
4048;Würenlos;2020-09-27;4198.0;2477.0;130.0;2.0;2345.0;1448.0;897.0;2603.0;21.0;116.0
4049;Ehrendingen;2020-09-27;3221.0;1831.0;95.0;1.0;1735.0;1052.0;683.0;1917.0;31.0;64.0
4061;Arni (AG);2020-09-27;1293.0;735.0;52.0;0.0;683.0;437.0;246.0;830.0;6.0;41.0
4062;Berikon;2020-09-27;3159.0;1672.0;84.0;5.0;1583.0;938.0;645.0;1908.0;28.0;33.0
4063;Bremgarten (AG);2020-09-27;5355.0;2748.0;140.0;1.0;2607.0;1346.0;1261.0;3052.0;43.0;74.0
4064;Büttikon;2020-09-27;684.0;374.0;20.0;0.0;354.0;192.0;162.0;392.0;1.0;18.0
4065;Dottikon;2020-09-27;2028.0;1033.0;39.0;0.0;994.0;464.0;530.0;1088.0;30.0;22.0
4066;Eggenwil;2020-09-27;689.0;412.0;20.0;0.0;392.0;239.0;153.0;435.0;2.0;13.0
4067;Fischbach-Göslikon;2020-09-27;1067.0;558.0;22.0;0.0;536.0;300.0;236.0;636.0;6.0;4.0
4068;Hägglingen;2020-09-27;1721.0;996.0;40.0;0.0;956.0;339.0;617.0;1063.0;30.0;36.0
4071;Jonen;2020-09-27;1467.0;832.0;54.0;0.0;778.0;474.0;304.0;933.0;10.0;13.0
4072;Niederwil (AG);2020-09-27;1894.0;1044.0;44.0;3.0;997.0;522.0;475.0;1079.0;11.0;47.0
4073;Oberlunkhofen;2020-09-27;1464.0;866.0;51.0;0.0;815.0;466.0;349.0;947.0;5.0;28.0
4074;Oberwil-Lieli;2020-09-27;1777.0;1178.0;57.0;2.0;1119.0;728.0;391.0;1286.0;4.0;28.0
4075;Rudolfstetten-Friedlisberg;2020-09-27;2675.0;1230.0;58.0;11.0;1161.0;686.0;475.0;1388.0;9.0;43.0
4076;Sarmenstorf;2020-09-27;1993.0;1042.0;48.0;0.0;994.0;508.0;486.0;1134.0;30.0;49.0
4077;Tägerig;2020-09-27;930.0;522.0;29.0;0.0;493.0;235.0;258.0;545.0;1.0;18.0
4078;Uezwil;2020-09-27;358.0;195.0;11.0;0.0;184.0;97.0;87.0;206.0;2.0;9.0
4079;Unterlunkhofen;2020-09-27;1085.0;617.0;34.0;0.0;583.0;337.0;246.0;693.0;11.0;24.0
4080;Villmergen;2020-09-27;4137.0;1988.0;93.0;0.0;1895.0;905.0;990.0;2174.0;49.0;84.0
4081;Widen;2020-09-27;2566.0;1496.0;73.0;0.0;1423.0;903.0;520.0;1636.0;23.0;42.0
