BFSNR;NAME;DATUM;STIMMBERECHTIGTE;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
19;Kanton Aargau;2020-09-27;433195.0;247067.0;1730.0;101.0;245236.0;104046.0;141190.0;244976.0;3675.0;...;7442.0
1901;Bezirk Aarau;2020-09-27;49882.0;30117.0;217.0;14.0;29886.0;10735.0;19151.0;30372.0;585.0;...;560.0
1902;Bezirk Baden;2020-09-27;84974.0;50338.0;302.0;31.0;50005.0;17788.0;32217.0;49697.0;660.0;...;1632.0
1903;Bezirk Bremgarten;2020-09-27;48223.0;28302.0;187.0;17.0;28098.0;12882.0;15216.0;27966.0;410.0;...;979.0
1904;Bezirk Brugg;2020-09-27;32374.0;19365.0;174.0;5.0;19186.0;7885.0;11301.0;19322.0;300.0;...;439.0
1905;Bezirk Kulm;2020-09-27;25971.0;14254.0;100.0;9.0;14145.0;7864.0;6281.0;14192.0;218.0;...;358.0
1906;Bezirk Laufenburg;2020-09-27;21530.0;12219.0;97.0;2.0;12120.0;5492.0;6628.0;12142.0;168.0;...;369.0
1907;Bezirk Lenzburg;2020-09-27;40732.0;23625.0;166.0;6.0;23453.0;10401.0;13052.0;23451.0;374.0;...;664.0
1908;Bezirk Muri;2020-09-27;24390.0;14141.0;103.0;5.0;14033.0;6709.0;7324.0;14021.0;185.0;...;433.0
1909;Bezirk Rheinfelden;2020-09-27;29334.0;15800.0;96.0;5.0;15699.0;6378.0;9321.0;15662.0;229.0;...;465.0
1910;Bezirk Zofingen;2020-09-27;44801.0;24051.0;201.0;4.0;23846.0;11402.0;12444.0;23672.0;375.0;...;918.0
1911;Bezirk Zurzach;2020-09-27;20139.0;12054.0;79.0;2.0;11973.0;5861.0;6112.0;11653.0;156.0;...;624.0
4001;Aarau;2020-09-27;14471.0;9217.0;78.0;5.0;9134.0;2336.0;6798.0;9236.0;175.0;...;215.0
4002;Biberstein;2020-09-27;1183.0;791.0;3.0;...;788.0;283.0;505.0;801.0;18.0;...;17.0
4003;Buchs (AG);2020-09-27;4206.0;2277.0;12.0;...;2265.0;863.0;1402.0;2289.0;33.0;...;31.0
4004;Densbüren;2020-09-27;557.0;331.0;2.0;...;329.0;166.0;163.0;330.0;7.0;...;11.0
4005;Erlinsbach (AG);2020-09-27;2977.0;1877.0;8.0;5.0;1864.0;755.0;1109.0;1847.0;13.0;...;50.0
4006;Gränichen;2020-09-27;5199.0;2889.0;20.0;...;2869.0;1316.0;1553.0;2938.0;80.0;...;45.0
4007;Hirschthal;2020-09-27;1177.0;704.0;2.0;...;702.0;364.0;338.0;701.0;11.0;...;16.0
4008;Küttigen;2020-09-27;4360.0;2852.0;16.0;3.0;2833.0;941.0;1892.0;2835.0;16.0;...;37.0
4009;Muhen;2020-09-27;2762.0;1571.0;17.0;...;1554.0;747.0;807.0;1601.0;28.0;...;21.0
4010;Oberentfelden;2020-09-27;4803.0;2475.0;17.0;...;2458.0;1103.0;1355.0;2470.0;32.0;...;48.0
4012;Suhr;2020-09-27;5604.0;3520.0;31.0;1.0;3488.0;1266.0;2222.0;3695.0;135.0;...;29.0
4013;Unterentfelden;2020-09-27;2583.0;1613.0;11.0;...;1602.0;595.0;1007.0;1629.0;37.0;...;40.0
4021;Baden;2020-09-27;12086.0;7853.0;42.0;3.0;7808.0;1749.0;6059.0;7617.0;125.0;...;378.0
4022;Bellikon;2020-09-27;1168.0;801.0;4.0;...;797.0;368.0;429.0;795.0;14.0;...;25.0
4023;Bergdietikon;2020-09-27;1861.0;1136.0;2.0;...;1134.0;496.0;638.0;1146.0;14.0;...;13.0
4024;Birmenstorf (AG);2020-09-27;1917.0;1166.0;6.0;...;1160.0;463.0;697.0;1161.0;12.0;...;17.0
4026;Ennetbaden;2020-09-27;2207.0;1621.0;8.0;...;1613.0;295.0;1318.0;1607.0;17.0;...;35.0
4027;Fislisbach;2020-09-27;3393.0;1874.0;15.0;...;1859.0;676.0;1183.0;1904.0;62.0;...;55.0
4028;Freienwil;2020-09-27;727.0;522.0;3.0;...;519.0;193.0;326.0;479.0;...;...;47.0
4029;Gebenstorf;2020-09-27;3309.0;1886.0;12.0;...;1874.0;700.0;1174.0;1871.0;16.0;...;46.0
4030;Killwangen;2020-09-27;1171.0;671.0;7.0;...;664.0;276.0;388.0;665.0;8.0;...;16.0
4031;Künten;2020-09-27;1247.0;718.0;5.0;...;713.0;330.0;383.0;705.0;8.0;...;24.0
4032;Mägenwil;2020-09-27;1274.0;703.0;5.0;...;698.0;306.0;392.0;688.0;8.0;...;23.0
4033;Mellingen;2020-09-27;3138.0;1675.0;3.0;...;1672.0;699.0;973.0;1652.0;11.0;...;39.0
4034;Neuenhof;2020-09-27;3760.0;1740.0;15.0;...;1725.0;776.0;949.0;1730.0;37.0;...;51.0
4035;Niederrohrdorf;2020-09-27;2740.0;1697.0;10.0;2.0;1685.0;586.0;1099.0;1677.0;21.0;...;49.0
4037;Oberrohrdorf;2020-09-27;2796.0;1920.0;19.0;...;1901.0;708.0;1193.0;1912.0;22.0;...;43.0
4038;Obersiggenthal;2020-09-27;4916.0;2972.0;22.0;15.0;2935.0;996.0;1939.0;2873.0;11.0;...;110.0
4039;Remetschwil;2020-09-27;1418.0;883.0;8.0;...;875.0;379.0;496.0;873.0;18.0;...;35.0
4040;Spreitenbach;2020-09-27;4705.0;1894.0;15.0;1.0;1878.0;860.0;1018.0;1882.0;13.0;...;40.0
4041;Stetten (AG);2020-09-27;1389.0;750.0;6.0;1.0;743.0;316.0;427.0;769.0;30.0;...;16.0
4042;Turgi;2020-09-27;1501.0;743.0;4.0;...;739.0;236.0;503.0;738.0;15.0;...;22.0
4044;Untersiggenthal;2020-09-27;4213.0;2575.0;9.0;7.0;2559.0;971.0;1588.0;2541.0;33.0;...;79.0
4045;Wettingen;2020-09-27;12663.0;7675.0;45.0;1.0;7629.0;2484.0;5145.0;7683.0;96.0;...;191.0
4046;Wohlenschwil;2020-09-27;1054.0;620.0;2.0;...;618.0;248.0;370.0;598.0;4.0;...;28.0
4047;Würenlingen;2020-09-27;2902.0;1665.0;6.0;...;1659.0;812.0;847.0;1611.0;13.0;...;70.0
4048;Würenlos;2020-09-27;4198.0;2641.0;11.0;1.0;2629.0;1073.0;1556.0;2603.0;21.0;...;116.0
4049;Ehrendingen;2020-09-27;3221.0;1937.0;18.0;...;1919.0;792.0;1127.0;1917.0;31.0;...;64.0
4061;Arni (AG);2020-09-27;1293.0;860.0;5.0;...;855.0;337.0;518.0;830.0;6.0;...;41.0
4062;Berikon;2020-09-27;3159.0;1895.0;9.0;2.0;1884.0;787.0;1097.0;1908.0;28.0;...;33.0
4063;Bremgarten (AG);2020-09-27;5355.0;3060.0;21.0;1.0;3038.0;1148.0;1890.0;3052.0;43.0;...;74.0
4064;Büttikon;2020-09-27;684.0;400.0;...;...;400.0;232.0;168.0;392.0;1.0;...;18.0
4065;Dottikon;2020-09-27;2028.0;1072.0;11.0;...;1061.0;543.0;518.0;1088.0;30.0;...;22.0
4066;Eggenwil;2020-09-27;689.0;443.0;2.0;...;441.0;196.0;245.0;435.0;2.0;...;13.0
4067;Fischbach-Göslikon;2020-09-27;1067.0;628.0;7.0;...;621.0;330.0;291.0;636.0;6.0;...;4.0
4068;Hägglingen;2020-09-27;1721.0;1059.0;7.0;...;1052.0;528.0;524.0;1063.0;30.0;...;36.0
4071;Jonen;2020-09-27;1467.0;936.0;5.0;...;931.0;377.0;554.0;933.0;10.0;...;13.0
4072;Niederwil (AG);2020-09-27;1894.0;1114.0;8.0;...;1106.0;559.0;547.0;1079.0;11.0;...;47.0
4073;Oberlunkhofen;2020-09-27;1464.0;964.0;4.0;...;960.0;400.0;560.0;947.0;5.0;...;28.0
4074;Oberwil-Lieli;2020-09-27;1777.0;1303.0;12.0;...;1291.0;602.0;689.0;1286.0;4.0;...;28.0
4075;Rudolfstetten-Friedlisberg;2020-09-27;2675.0;1404.0;6.0;13.0;1385.0;646.0;739.0;1388.0;9.0;...;43.0
4076;Sarmenstorf;2020-09-27;1993.0;1133.0;3.0;...;1130.0;573.0;557.0;1134.0;30.0;...;49.0
4077;Tägerig;2020-09-27;930.0;558.0;3.0;...;555.0;297.0;258.0;545.0;1.0;...;18.0
4078;Uezwil;2020-09-27;358.0;212.0;3.0;...;209.0;130.0;79.0;206.0;2.0;...;9.0
4079;Unterlunkhofen;2020-09-27;1085.0;692.0;2.0;...;690.0;324.0;366.0;693.0;11.0;...;24.0
4080;Villmergen;2020-09-27;4137.0;2180.0;12.0;...;2168.0;1173.0;995.0;2174.0;49.0;...;84.0
